"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Montenegro";"2";"12439";"Luka Murisic DEL";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Montenegro";"3";"111";"Vasilije Radovic";"2";"2";"0";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0"
"Montenegro";"4";"94";"Kanstantin Averka";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"2";"0";"0";"0"
"Montenegro";"5";"2189";"Marko Mrsic";"1";"4";"1";"2";"0";"0";"0";"2";"0";"0";"0";"0";"2";"1";"1";"0";"0";"3";"1";"0";"0"
"Montenegro";"6";"93";"Vlado Popadic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"3";"1";"0";"0"
"Montenegro";"9";"375";"Aleksa Ukropina";"1";"6";"0";"3";"0";"0";"1";"3";"0";"0";"0";"0";"1";"1";"0";"1";"0";"2";"2";"0";"0"
"Montenegro";"8";"1373";"Bogdan Djurdjic";"2";"3";"0";"1";"0";"0";"2";"2";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0"
"Montenegro";"1";"1366";"Dejan Lazovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9"
"Montenegro";"10";"1375";"Vladan Spaic";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"7";"1";"0";"0";"1";"2";"1";"0"
"Montenegro";"11";"2133";"Dusan Matkovic";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"2";"1";"0";"0"
"Montenegro";"7";"2155";"Miroslav Perkovic";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0";"1";"1";"0";"0"
"Italy";"13";"1365";"Gianmarco Nicosia";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Italy";"10";"532";"Lorenzo Bruni";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"1";"0";"2";"0"
"Italy";"11";"493";"Edoardo Di Somma";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"3";"2";"0";"0";"2";"1";"1";"0"
"Montenegro";"12";"1369";"Marko Petkovic";"0";"4";"0";"2";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"2";"0";"0"
"Italy";"9";"134";"Nicholas Presciutti";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"2";"0";"0";"2";"0";"0";"0"
"Italy";"8";"797";"Luca Marziali";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"4";"0";"0";"0";"1";"0";"0";"0"
"Italy";"7";"1359";"Vincenzo Renzuto";"2";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"2";"1";"1";"0"
"Italy";"6";"136";"Giacomo Cannella";"3";"7";"0";"3";"0";"0";"1";"2";"1";"1";"1";"1";"2";"2";"4";"0";"1";"1";"1";"0";"0"
"Italy";"5";"1357";"Andrea Fondelli";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"2";"2";"0";"0"
"Italy";"4";"135";"Jacopo Alesiani";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0"
"Italy";"3";"531";"Luca Damonte";"2";"4";"0";"1";"0";"1";"2";"2";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0"
"Italy";"2";"1354";"Francesco Di Fulvio";"2";"9";"0";"1";"1";"2";"1";"5";"0";"1";"0";"0";"4";"4";"2";"2";"1";"1";"0";"1";"0"
"Italy";"1";"1353";"Marco Del Lungo";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"8"
"Italy";"12";"1364";"Vincenzo Dolce";"3";"5";"1";"3";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0"
"Montenegro";"13";"1378";"Petar Tesanovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
