"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"France";"5";"1305";"Enzo Khasz";"2";"4";"2";"4";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"2";"1";"0";"0";"0";"0";"0"
"France";"6";"1304";"Thomas Vernoux";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0"
"France";"10";"1310";"Charles Canonne";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0"
"France";"8";"600";"Emil Bjorch";"1";"4";"0";"3";"0";"0";"1";"1";"0";"0";"0";"0";"1";"1";"2";"0";"0";"2";"0";"0";"0"
"France";"9";"1309";"Mehdi Marzouki";"2";"7";"1";"4";"0";"0";"0";"2";"0";"0";"1";"1";"1";"1";"0";"0";"0";"1";"1";"2";"0"
"France";"1";"2378";"Clement Dubois";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"11"
"France";"11";"1311";"Pierre-Frederic Vanpeperstraete";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0"
"France";"7";"1303";"Romain Marion-Vernoux";"3";"5";"2";"3";"0";"0";"1";"1";"0";"0";"0";"1";"2";"0";"1";"0";"1";"1";"1";"0";"0"
"Malta";"13";"1423";"Nicholas-Kane Grixti";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Malta";"9";"1431";"Jeremy Abela";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0"
"Malta";"11";"12457";"Benjamin Cachia";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Malta";"10";"12463";"Nikolai Zammit";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0"
"France";"12";"11475";"Andrea De Nardi";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0"
"Malta";"8";"12456";"Nicholas Bugelli";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"2";"1";"3";"1";"2";"0";"0"
"Malta";"7";"1433";"Ben Plumpton";"2";"6";"1";"3";"0";"1";"1";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"8";"0";"0"
"Malta";"6";"1428";"Matthew Zammit";"2";"10";"2";"7";"0";"1";"0";"2";"0";"0";"0";"0";"1";"4";"0";"0";"0";"1";"1";"0";"0"
"Malta";"5";"1427";"Darren Zammit";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
"Malta";"4";"12490";"James Gambin";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"1";"0";"0";"0"
"Malta";"3";"12458";"Liam Galea";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
"Malta";"2";"12460";"Sam Gialanze";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0"
"Malta";"1";"12461";"Jake Tanti";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"10"
"Malta";"12";"1434";"Dino Zammit";"2";"7";"1";"4";"1";"2";"0";"1";"0";"0";"0";"0";"2";"0";"2";"2";"0";"1";"1";"0";"0"
"France";"13";"1313";"Hugo Fontani";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1"
"France";"3";"1307";"Ugo Crousillat";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"1";"0";"0";"0"
"France";"2";"2381";"David Caumette";"2";"4";"1";"3";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
"France";"4";"2380";"Alexandre Bouet";"1";"3";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"2";"0";"0";"2";"1";"0";"0"
