"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Serbia";"2";"496";"Dusan Mandic";"3";"8";"1";"3";"0";"1";"1";"3";"1";"1";"0";"0";"0";"1";"1";"0";"0";"1";"1";"1";"0"
"Serbia";"3";"438";"Radomir Drasovic";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"3";"1";"0";"2";"1";"0";"0"
"Serbia";"4";"381";"Sava Randjelovic";"0";"4";"0";"2";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"3";"0";"0";"0"
"Serbia";"5";"721";"Djordje Vucinic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0"
"Serbia";"6";"1422";"Nemanja Vico";"1";"3";"0";"1";"0";"0";"1";"2";"0";"0";"0";"0";"0";"8";"0";"0";"0";"0";"1";"1";"0"
"Serbia";"10";"723";"Marko Radulovic";"1";"2";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"2";"0";"0"
"Serbia";"8";"719";"Petar Velkic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"0";"0";"0";"0";"0";"0"
"Serbia";"9";"707";"Luka Pljevancic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"2";"1";"0";"0"
"Serbia";"1";"2383";"Dimitrije Risticevic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Serbia";"11";"670";"Ognjen Stojanovic";"0";"4";"0";"2";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"1";"0";"0"
"Serbia";"7";"733";"Strahinja Rasovic";"3";"13";"2";"10";"0";"0";"0";"2";"1";"1";"0";"0";"1";"1";"3";"0";"3";"2";"0";"0";"0"
"France";"13";"1313";"Hugo Fontani";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"15"
"France";"9";"1309";"Mehdi Marzouki";"2";"5";"0";"1";"0";"0";"2";"4";"0";"0";"0";"0";"2";"1";"1";"0";"0";"1";"0";"1";"0"
"France";"11";"1311";"Pierre-Frederic Vanpeperstraete";"1";"2";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0"
"France";"10";"1310";"Charles Canonne";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0"
"Serbia";"12";"439";"Viktor Rasovic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"2";"1";"0";"1";"1";"0";"0"
"France";"8";"600";"Emil Bjorch";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3";"1";"0";"0"
"France";"7";"1303";"Romain Marion-Vernoux";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0"
"France";"6";"1304";"Thomas Vernoux";"2";"2";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"8";"2";"2";"0";"0";"1";"4";"0"
"France";"5";"1305";"Enzo Khasz";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"2";"2";"2";"0";"0";"1";"3";"0";"0"
"France";"4";"2380";"Alexandre Bouet";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"2";"0";"0";"0";"0";"0"
"France";"3";"1307";"Ugo Crousillat";"4";"8";"2";"5";"0";"0";"1";"2";"1";"1";"0";"0";"0";"1";"2";"0";"0";"1";"2";"1";"0"
"France";"2";"1302";"Remi Saudadier";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"3";"0";"0";"0"
"France";"1";"2378";"Clement Dubois";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"France";"12";"11475";"Andrea De Nardi";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"2";"0";"0";"0"
"Serbia";"13";"692";"Lazar Dobozanov";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6"
