"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Israel";"11";"12449";"Itamar Kolodny";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0"
"Israel";"10";"12440";"Ori Buzaglo";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"1";"0";"0";"0";"1";"0";"0"
"Israel";"9";"12450";"Dor Koter";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Israel";"8";"12443";"Ido Goldschmidt";"1";"4";"1";"4";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0"
"Israel";"7";"819";"Tamir Fried";"2";"7";"0";"4";"0";"1";"2";"2";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"2";"0";"0"
"Israel";"6";"12447";"Gal Haimovich";"2";"3";"1";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0"
"Israel";"5";"12451";"Yoav Rendler";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Israel";"4";"12448";"Yuval Klarfeld";"0";"4";"0";"1";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"3";"0";"0";"2";"1";"0";"0"
"Israel";"3";"12444";"Ronen Gros";"2";"5";"1";"4";"1";"1";"0";"0";"0";"0";"0";"0";"4";"1";"1";"0";"1";"1";"1";"0";"0"
"Israel";"2";"12452";"Or Schlein";"2";"4";"2";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Israel";"1";"12441";"Yahav Fire";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"8"
"Israel";"12";"12446";"Tom Grundlyand";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"2";"0";"0"
"Greece";"13";"11476";"Konstatinos Limarakis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5"
"Greece";"11";"128";"Dimitrios Nikolaidis";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"3";"0";"0"
"Greece";"10";"4822";"Nikolaos Gkillas";"3";"4";"2";"2";"0";"0";"0";"0";"0";"1";"1";"1";"3";"2";"2";"0";"1";"0";"0";"0";"0"
"Greece";"9";"12454";"Nikolaos Kopeliadis";"3";"4";"3";"3";"0";"0";"0";"1";"0";"0";"0";"0";"4";"0";"0";"0";"0";"1";"0";"0";"0"
"Greece";"8";"11477";"Ioannis Alafragkis";"2";"5";"1";"4";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"2";"1";"0";"1";"0";"0";"0"
"Greece";"7";"1333";"Georgios Dervisis";"1";"3";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"1";"0";"1";"2";"0";"0";"0"
"Greece";"6";"1332";"Alexandros Papanastasiou";"3";"4";"1";"2";"0";"0";"2";"2";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0"
"Greece";"5";"1334";"Stylianos Argyropoulos";"3";"4";"0";"1";"0";"0";"1";"1";"1";"1";"1";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"Greece";"4";"862";"Konstantinos Gkiouvetsis";"3";"6";"2";"4";"0";"0";"1";"1";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"1";"1";"0"
"Greece";"3";"1329";"Dimitrios Skoumpakis";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0"
"Greece";"2";"1328";"Konstantinos Genidounias";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"2";"0";"1";"0";"1";"1";"0";"0";"0"
"Greece";"1";"963";"Panagiotis Tzortzatos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8"
"Greece";"12";"1002";"Emmanouil Solanakis";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"2";"0";"0"
"Israel";"13";"12453";"Maxim Smirnov";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
