"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Slovakia";"1";"1276";"Tomas HOFERICA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7"
"Slovakia";"2";"12487";"Robert Kaid";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"1";"0";"0"
"Slovakia";"3";"4983";"Patrik Tisaj";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Slovakia";"4";"1285";"Andrej Kovacik";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"Slovakia";"5";"570";"Lukas Durik";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"2";"3";"0"
"Slovakia";"6";"12484";"Branislav Balogh";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"2";"1";"0";"0"
"Slovakia";"7";"382";"Lukas Seman";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3";"3";"0";"0";"0";"0";"1";"0"
"Slovakia";"8";"12486";"Erik Haluska";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Slovakia";"9";"4976";"Boris Juhasz";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"3";"0";"0";"0"
"Slovakia";"10";"12488";"Maximilan Molnar";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"1";"2";"0";"1";"0";"1";"1";"0";"0"
"Slovakia";"11";"1277";"Matej Caraj DON'T USE";"3";"6";"3";"5";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Slovakia";"12";"1287";"Samuel Balaz";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"3";"0";"0";"2";"2";"0";"0"
"Slovakia";"13";"4981";"Adam Simkovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1"
"Germany";"1";"1314";"Moritz Schenkel";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10"
"Germany";"2";"4997";"Zoran Bozic";"2";"4";"1";"2";"0";"0";"1";"2";"0";"0";"0";"0";"2";"0";"1";"0";"0";"3";"0";"0";"0"
"Germany";"3";"967";"Ferdinand Korbel";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0"
"Germany";"4";"186";"Mateo Cuk";"1";"4";"0";"3";"0";"0";"1";"1";"0";"0";"0";"0";"0";"4";"2";"1";"0";"0";"1";"0";"0"
"Germany";"5";"1318";"Fynn Schutze";"3";"5";"1";"3";"0";"0";"1";"1";"1";"1";"0";"0";"2";"2";"2";"0";"2";"0";"0";"0";"0"
"Germany";"6";"1319";"Maurice Jungling";"2";"3";"1";"2";"0";"0";"1";"1";"0";"0";"0";"0";"2";"0";"1";"1";"0";"0";"0";"0";"0"
"Germany";"7";"1320";"Denis Strelezkij";"3";"4";"3";"4";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"3";"1";"0";"0";"3";"0";"0"
"Germany";"8";"12168";"Lukas Kuppers";"3";"5";"1";"1";"0";"0";"1";"2";"1";"2";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0"
"Germany";"9";"1322";"Marko Stamm";"2";"4";"2";"4";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"1";"1";"0";"1";"1";"0";"0"
"Germany";"10";"11491";"Philipp Dolff";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"2";"0";"0";"0"
"Germany";"11";"1478";"Jan Rotermund";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0"
"Germany";"12";"5001";"Mark Gansen";"1";"2";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"2";"0";"1";"1";"0"
"Germany";"13";"1326";"Kevin Goetz";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
