"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Georgia";"1";"1261";"Irakli Razmadze";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"4"
"Georgia";"10";"1258";"Giorgi Magrakvelidze";"1";"4";"0";"1";"0";"1";"1";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0"
"Georgia";"7";"1255";"Khvicha Jakhaia";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"0";"0"
"Georgia";"5";"1253";"Andria Bitadze";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"1";"0";"1";"0";"0";"0"
"Georgia";"6";"1254";"Marko Jelaca";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"3";"0";"1";"0";"1";"0";"0";"0"
"Georgia";"4";"1484";"Nika Shushiashvili";"3";"7";"3";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"2";"0";"0"
"Georgia";"3";"1483";"Valiko Dadvani";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"0";"3";"2";"1";"0"
"Georgia";"2";"1260";"Boris Vapenski";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0"
"Croatia";"13";"75";"Toni Popadic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"4"
"Croatia";"7";"7";"Matias Biljaka";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"1";"0";"0";"0"
"Croatia";"11";"915";"Andrija Basic";"1";"2";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"0";"0";"0";"2";"0";"0";"0"
"Croatia";"10";"1";"Josip Vrlic";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"2";"0";"0";"0";"2";"2";"0"
"Croatia";"9";"917";"Jerko Marinic Kragic";"1";"5";"0";"3";"0";"0";"0";"1";"0";"0";"1";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0"
"Croatia";"8";"81";"Marko Zuvela";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"2";"0";"1";"2";"1";"1";"0"
"Georgia";"12";"715";"Dusan Vasic";"0";"7";"0";"5";"0";"0";"0";"1";"0";"1";"0";"0";"2";"0";"3";"0";"0";"1";"3";"0";"0"
"Croatia";"6";"4";"Luka Bukic";"4";"4";"3";"3";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0"
"Croatia";"5";"6";"Franko Lazic";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
"Croatia";"4";"54";"Ivan Krapic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Croatia";"3";"77";"Loren Fatovic";"3";"6";"1";"4";"0";"0";"0";"0";"1";"1";"1";"1";"1";"0";"1";"0";"0";"0";"2";"0";"0"
"Croatia";"2";"60";"Rino Buric";"2";"3";"1";"1";"0";"0";"1";"2";"0";"0";"0";"0";"0";"2";"1";"1";"0";"2";"0";"0";"0"
"Croatia";"1";"484";"Marko Bijac";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"12"
"Croatia";"12";"1410";"Konstantin Kharkov";"3";"3";"0";"0";"0";"0";"1";"1";"2";"2";"0";"0";"1";"0";"2";"0";"1";"2";"0";"0";"0"
"Georgia";"13";"1249";"Nikoloz Shubladze";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"Georgia";"11";"12213";"Sandro Adeishvili";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"1";"0";"0"
"Georgia";"8";"2455";"Saba Tkeshelashvili";"0";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Georgia";"9";"1252";"Revaz Imnaishvili";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
