"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Malta";"2";"12460";"Sam Gialanze";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Malta";"3";"1425";"Andreas Galea";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"3";"0";"0"
"Malta";"4";"12490";"James Gambin";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Malta";"5";"1427";"Darren Zammit";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
"Malta";"6";"1428";"Matthew Zammit";"1";"5";"1";"2";"0";"1";"0";"2";"0";"0";"0";"0";"0";"4";"2";"0";"0";"0";"0";"3";"0"
"Malta";"11";"12458";"Liam Galea";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"1";"0";"1";"1";"0";"0"
"Malta";"8";"12456";"Nicholas Bugelli";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"3";"0";"2";"1";"1";"0";"0"
"Malta";"9";"1431";"Jeremy Abela";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0"
"Malta";"10";"12463";"Nikolai Zammit";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Malta";"1";"12461";"Jake Tanti";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4"
"Malta";"7";"1433";"Ben Plumpton";"2";"5";"1";"3";"0";"0";"0";"1";"0";"0";"1";"1";"2";"0";"3";"1";"0";"2";"1";"0";"0"
"Germany";"13";"1326";"Kevin Goetz";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Germany";"8";"12168";"Lukas Kuppers";"3";"5";"3";"5";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"1";"2";"0";"0"
"Germany";"11";"1482";"Phillip Kubisch";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Germany";"10";"11491";"Philipp Dolff";"2";"3";"1";"2";"0";"0";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"2";"0";"2";"0"
"Germany";"9";"1322";"Marko Stamm";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"2";"1";"2";"0"
"Malta";"12";"1434";"Dino Zammit";"5";"10";"2";"3";"0";"0";"1";"4";"0";"0";"2";"3";"2";"7";"0";"0";"0";"1";"0";"0";"0"
"Germany";"7";"1320";"Denis Strelezkij";"2";"4";"0";"2";"0";"0";"1";"1";"0";"0";"1";"1";"4";"1";"4";"0";"0";"3";"0";"0";"0"
"Germany";"6";"1319";"Maurice Jungling";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"1";"0";"0";"2";"2";"0";"0"
"Germany";"5";"1318";"Fynn Schutze";"3";"6";"3";"5";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"1";"1";"2";"0";"0"
"Germany";"4";"186";"Mateo Cuk";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"2";"0";"1";"1";"0";"0"
"Germany";"3";"967";"Ferdinand Korbel";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0"
"Germany";"2";"4997";"Zoran Bozic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Germany";"1";"1314";"Moritz Schenkel";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7"
"Germany";"12";"5001";"Mark Gansen";"2";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0"
"Malta";"13";"1423";"Nicholas-Kane Grixti";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
