"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Hungary";"1";"371";"Marton Levai";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Hungary";"13";"1352";"Soma Vogel";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"8"
"Hungary";"2";"1341";"Daniel Angyal";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"2";"0";"0"
"Montenegro";"5";"96";"Dusan Banicevic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"Montenegro";"6";"93";"Vlado Popadic";"0";"4";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"1";"1";"0"
"Montenegro";"7";"2155";"Miroslav Perkovic";"2";"3";"0";"0";"0";"0";"2";"3";"0";"0";"0";"0";"0";"3";"3";"0";"0";"0";"2";"1";"0"
"Montenegro";"9";"375";"Aleksa Ukropina";"0";"2";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0"
"Montenegro";"10";"1375";"Vladan Spaic";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"1";"0";"0";"0";"0";"1";"0"
"Montenegro";"11";"2133";"Dusan Matkovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0"
"Montenegro";"13";"1378";"Petar Tesanovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Montenegro";"12";"1369";"Marko Petkovic";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"1";"2";"0";"0"
"Montenegro";"8";"1373";"Bogdan Djurdjic";"2";"9";"0";"5";"0";"1";"0";"1";"2";"2";"0";"0";"2";"0";"1";"1";"0";"1";"1";"0";"0"
"Montenegro";"4";"94";"Kanstantin Averka";"2";"6";"1";"3";"0";"0";"1";"2";"0";"1";"0";"0";"0";"1";"2";"0";"1";"0";"2";"0";"0"
"Montenegro";"1";"1366";"Dejan Lazovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8"
"Hungary";"12";"2368";"Vendel Vigvari";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"3";"0";"0";"2";"2";"0";"0"
"Hungary";"11";"1347";"Szilard Jansik";"5";"5";"2";"2";"0";"0";"1";"1";"0";"0";"2";"2";"0";"1";"2";"1";"1";"1";"1";"1";"0"
"Hungary";"10";"2367";"Gergo Fekete";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"1";"0";"0"
"Hungary";"9";"450";"Toni Josef Nemet";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"2";"0"
"Hungary";"8";"374";"Gergely Burian";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"1";"0";"0";"0";"0"
"Hungary";"7";"1343";"Gergo Zalanki";"1";"11";"1";"8";"0";"1";"0";"1";"0";"0";"0";"1";"1";"1";"2";"1";"1";"1";"1";"1";"0"
"Hungary";"6";"4835";"Erik Molnar";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"1";"0";"2";"2";"0";"0"
"Hungary";"5";"1340";"Viktor Nagy";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"2";"0";"0";"0"
"Hungary";"4";"2376";"Akos Konarik";"1";"2";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0";"0"
"Hungary";"3";"1342";"Krisztian Manhercz";"2";"3";"1";"2";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"2";"0";"0";"1";"1";"1";"0"
"Montenegro";"3";"111";"Vasilije Radovic";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"2";"0";"0"
"Montenegro";"2";"12439";"Luka Murisic DEL";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
