"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Israel";"2";"12452";"Or Schlein";"1";"2";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"1";"2";"1";"1";"0";"0";"1";"0";"0"
"Israel";"3";"12444";"Ronen Gros";"5";"9";"3";"5";"0";"0";"2";"3";"0";"1";"0";"0";"1";"2";"2";"0";"0";"1";"1";"0";"0"
"Israel";"4";"12448";"Yuval Klarfeld";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0"
"Israel";"5";"12451";"Yoav Rendler";"0";"4";"0";"2";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0"
"Israel";"6";"12447";"Gal Haimovich";"1";"5";"0";"2";"0";"0";"1";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"2";"1";"0";"0"
"Israel";"10";"12440";"Ori Buzaglo";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"0";"0";"0";"1";"1";"0"
"Israel";"8";"12443";"Ido Goldschmidt";"1";"6";"0";"2";"0";"1";"0";"1";"1";"2";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0"
"Israel";"9";"12450";"Dor Koter";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0"
"Israel";"1";"12441";"Yahav Fire";"1";"2";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"15"
"Israel";"11";"12442";"Tal Fotin";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0"
"Israel";"7";"819";"Tamir Fried";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"2";"1";"0"
"Romania";"13";"12433";"Adrian Mihaluta";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Romania";"9";"12436";"Albert-Alexandru Vatrai";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Romania";"11";"12431";"Raducu Dinca";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3";"1";"0"
"Romania";"10";"1398";"Vlad Georgescu";"1";"4";"0";"3";"0";"0";"0";"0";"1";"1";"0";"0";"2";"0";"2";"2";"0";"0";"1";"0";"0"
"Israel";"12";"12446";"Tom Grundlyand";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Romania";"8";"12435";"Bogdan Remes";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"3";"0";"0";"0"
"Romania";"7";"12437";"Ionut-Valentin Vranceanu";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Romania";"6";"1397";"Andrei Prioteasa";"1";"6";"0";"3";"0";"0";"0";"2";"1";"1";"0";"0";"1";"0";"0";"0";"2";"1";"1";"0";"0"
"Romania";"5";"1396";"Victor-Andrei Antipa";"1";"2";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0"
"Romania";"4";"1399";"Tudor Fulea";"5";"9";"1";"3";"1";"1";"2";"3";"1";"2";"0";"0";"1";"2";"1";"0";"0";"0";"1";"0";"0"
"Romania";"3";"779";"Francesco Iudean";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"3";"1";"0";"0"
"Romania";"2";"12434";"Andrei Neamtu";"1";"5";"0";"3";"0";"0";"0";"0";"1";"1";"0";"1";"0";"1";"1";"0";"2";"0";"1";"0";"0"
"Romania";"1";"1392";"Marius-Florin Tic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"13"
"Romania";"12";"1403";"Levente Vancsik";"2";"4";"1";"3";"0";"0";"1";"1";"0";"0";"0";"0";"0";"4";"0";"0";"0";"1";"1";"1";"0"
"Israel";"13";"12453";"Maxim Smirnov";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
