"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Slovenia";"2";"12470";"Benjamin Popovic";"1";"7";"0";"6";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"3";"1";"0";"2";"0";"0";"0"
"Slovenia";"11";"12469";"Aleksander Paunovic";"0";"4";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"1";"0";"0"
"Slovenia";"10";"12465";"Jan Justin";"0";"4";"0";"3";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0"
"Slovenia";"9";"12473";"Vukasin Stefanovic";"0";"3";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"2";"0";"0"
"Slovenia";"8";"12475";"Aljaz Troppan";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"2";"1";"0"
"Slovenia";"7";"12474";"Martin Stele";"2";"4";"1";"3";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0"
"Slovenia";"6";"12462";"Marko Blazic";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0"
"Slovenia";"5";"12468";"Matej Nastran";"1";"3";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"2";"2";"0";"0"
"Slovenia";"4";"12472";"Matic Rahne";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"1";"0";"1";"0"
"Slovenia";"3";"12466";"Jasa Kadivec";"1";"4";"1";"1";"0";"3";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"1";"1";"1";"0"
"Slovakia";"13";"4981";"Adam Simkovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Slovakia";"7";"382";"Lukas Seman";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"2";"0";"0";"0";"1";"0"
"Slovakia";"11";"1277";"Matej Caraj DON'T USE";"2";"3";"0";"1";"0";"0";"2";"2";"0";"0";"0";"0";"1";"1";"0";"0";"0";"3";"0";"1";"0"
"Slovakia";"10";"12488";"Maximilan Molnar";"1";"4";"0";"1";"1";"2";"0";"1";"0";"0";"0";"0";"2";"1";"2";"0";"0";"1";"3";"0";"0"
"Slovakia";"9";"4976";"Boris Juhasz";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0"
"Slovakia";"8";"4972";"Dani Baco";"1";"2";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"3";"0";"0";"1";"0";"0"
"Slovenia";"12";"12467";"Jasa Lah - Delete";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"3";"1";"0";"0"
"Slovakia";"6";"12484";"Branislav Balogh";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0"
"Slovakia";"5";"570";"Lukas Durik";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"7";"1";"0";"0";"0";"1";"4";"0"
"Slovakia";"4";"1285";"Andrej Kovacik";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Slovakia";"3";"4983";"Patrik Tisaj";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Slovakia";"2";"12487";"Robert Kaid";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"1";"1";"0";"1";"1";"0";"0";"0"
"Slovakia";"1";"1276";"Tomas HOFERICA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"15"
"Slovakia";"12";"1287";"Samuel Balaz";"6";"12";"4";"7";"0";"1";"1";"3";"0";"0";"1";"1";"3";"0";"1";"1";"0";"0";"1";"0";"0"
"Slovenia";"13";"12476";"Gasper Zurbi";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"9"
