"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Croatia";"11";"915";"Andrija Basic";"3";"6";"2";"4";"0";"0";"1";"2";"0";"0";"0";"0";"1";"0";"1";"1";"0";"2";"0";"1";"0"
"Croatia";"10";"1";"Josip Vrlic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"1";"0";"0";"0";"0";"2";"0"
"Croatia";"9";"917";"Jerko Marinic Kragic";"4";"5";"0";"0";"0";"1";"4";"4";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"1";"0";"0"
"Croatia";"8";"81";"Marko Zuvela";"1";"2";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"1";"3";"2";"1";"0";"3";"1";"1";"0"
"Croatia";"7";"7";"Matias Biljaka";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Croatia";"2";"60";"Rino Buric";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0";"2";"0";"0";"0"
"Croatia";"5";"6";"Franko Lazic";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"1";"0";"3";"1";"0";"0"
"Croatia";"4";"54";"Ivan Krapic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0"
"Croatia";"3";"77";"Loren Fatovic";"0";"4";"0";"2";"0";"1";"0";"1";"0";"0";"0";"0";"3";"2";"0";"0";"0";"0";"1";"0";"0"
"Croatia";"12";"1410";"Konstantin Kharkov";"2";"5";"0";"2";"0";"0";"1";"2";"1";"1";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0"
"Croatia";"1";"484";"Marko Bijac";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"14"
"Croatia";"6";"4";"Luka Bukic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"3";"0";"0";"0"
"Croatia";"13";"75";"Toni Popadic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Italy";"1";"1353";"Marco Del Lungo";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5"
"Italy";"2";"1354";"Francesco Di Fulvio";"3";"7";"0";"2";"2";"3";"1";"2";"0";"0";"0";"0";"1";"4";"2";"0";"2";"1";"0";"0";"0"
"Italy";"3";"531";"Luca Damonte";"1";"4";"1";"1";"0";"1";"0";"2";"0";"0";"0";"0";"3";"0";"0";"0";"0";"1";"1";"0";"0"
"Italy";"4";"135";"Jacopo Alesiani";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0"
"Italy";"6";"136";"Giacomo Cannella";"0";"7";"0";"5";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"1";"0"
"Italy";"5";"1357";"Andrea Fondelli";"2";"3";"1";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"3";"0";"0";"0"
"Italy";"8";"797";"Luca Marziali";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"4";"0";"1";"0";"2";"1";"2";"0"
"Italy";"9";"134";"Nicholas Presciutti";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"2";"0";"2";"0";"0";"0"
"Italy";"10";"532";"Lorenzo Bruni";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"0"
"Italy";"11";"493";"Edoardo Di Somma";"1";"2";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"1";"1";"2";"0";"0";"3";"1";"0";"0"
"Italy";"12";"1364";"Vincenzo Dolce";"1";"2";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"2";"2";"0";"0";"0";"3";"0";"1";"0"
"Italy";"13";"1365";"Gianmarco Nicosia";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"4"
