"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"France";"2";"1302";"Remi Saudadier";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
"France";"3";"1307";"Ugo Crousillat";"1";"4";"0";"2";"0";"0";"1";"1";"0";"1";"0";"0";"3";"0";"1";"0";"0";"2";"3";"1";"0"
"France";"4";"2380";"Alexandre Bouet";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"1";"0";"0";"0";"2";"0";"0"
"France";"5";"1305";"Enzo Khasz";"2";"3";"0";"0";"0";"0";"2";"3";"0";"0";"0";"0";"0";"2";"1";"0";"0";"2";"0";"0";"0"
"France";"6";"1304";"Thomas Vernoux";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"1";"7";"3";"0";"0";"0";"3";"0";"0"
"France";"10";"1310";"Charles Canonne";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0"
"France";"8";"600";"Emil Bjorch";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"1";"0";"0"
"France";"9";"1309";"Mehdi Marzouki";"1";"7";"0";"6";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"2";"0";"0"
"France";"1";"2378";"Clement Dubois";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"France";"11";"1311";"Pierre-Frederic Vanpeperstraete";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"2";"0";"0";"0"
"France";"7";"1303";"Romain Marion-Vernoux";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"2";"0";"0"
"Georgia";"13";"1249";"Nikoloz Shubladze";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Georgia";"9";"1252";"Revaz Imnaishvili";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"1";"2";"0";"0";"0"
"Georgia";"11";"1259";"Fabio Baraldi";"0";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"7";"0";"0";"0";"1";"2";"0";"0"
"Georgia";"10";"2455";"Saba Tkeshelashvili";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0"
"France";"12";"11475";"Andrea De Nardi";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"2";"0";"0";"0"
"Georgia";"8";"2370";"Jovan Saric";"0";"5";"0";"3";"0";"0";"0";"2";"0";"0";"0";"0";"0";"2";"0";"1";"0";"1";"3";"0";"0"
"Georgia";"7";"1255";"Khvicha Jakhaia";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
"Georgia";"6";"1254";"Marko Jelaca";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"3";"0";"0";"1";"3";"0";"0"
"Georgia";"5";"1253";"Andria Bitadze";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"1";"0";"0"
"Georgia";"4";"1484";"Nika Shushiashvili";"3";"6";"0";"3";"2";"2";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0"
"Georgia";"3";"1483";"Valiko Dadvani";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Georgia";"2";"1260";"Boris Vapenski";"1";"6";"0";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"1";"1";"0";"3";"2";"0";"0"
"Georgia";"1";"1261";"Irakli Razmadze";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"6"
"Georgia";"12";"715";"Dusan Vasic";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"1";"1";"2";"0";"1";"0";"0"
"France";"13";"1313";"Hugo Fontani";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"12"
