"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Israel";"11";"12449";"Itamar Kolodny";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"3";"1";"0"
"Israel";"10";"12440";"Ori Buzaglo";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"1";"0";"0";"1";"1";"0";"0"
"Israel";"9";"12450";"Dor Koter";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0"
"Israel";"8";"12443";"Ido Goldschmidt";"2";"2";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0";"0";"1";"3";"0";"0";"1";"1";"1";"0"
"Israel";"7";"819";"Tamir Fried";"2";"6";"0";"4";"0";"0";"2";"2";"0";"0";"0";"0";"2";"0";"2";"4";"0";"1";"2";"0";"0"
"Israel";"3";"12444";"Ronen Gros";"1";"5";"1";"5";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"1";"0";"0";"0";"4";"0";"0"
"Israel";"5";"12451";"Yoav Rendler";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Israel";"4";"12448";"Yuval Klarfeld";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"3";"0";"0";"0"
"Israel";"12";"12446";"Tom Grundlyand";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"Israel";"2";"12452";"Or Schlein";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"1";"0"
"Israel";"1";"12441";"Yahav Fire";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4"
"Israel";"6";"12447";"Gal Haimovich";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0"
"Israel";"13";"12453";"Maxim Smirnov";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"3"
"Netherlands";"1";"1379";"Eelco Wagenaar";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Netherlands";"2";"1380";"Kjeld Veenhuis";"2";"3";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"0";"0";"0";"0";"0";"0";"0"
"Netherlands";"3";"1381";"Jorn Winkelhorst";"3";"4";"2";"2";"0";"0";"1";"2";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"2";"3";"0"
"Netherlands";"4";"12479";"Lucas Gielen";"3";"4";"3";"3";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0"
"Netherlands";"5";"1383";"Guus van Ijperen";"1";"3";"0";"1";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"1";"1";"0"
"Netherlands";"6";"12478";"Bilal Gbadamassi";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0"
"Netherlands";"7";"12482";"Kas Te Riele";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"4";"0";"0";"1";"1";"1";"0";"0";"0"
"Netherlands";"8";"1386";"Jesse Nispeling";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Netherlands";"9";"12477";"Tom de Weerd";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3";"0";"1";"0";"0";"0";"0"
"Netherlands";"10";"1388";"Pascal Janssen";"2";"5";"2";"4";"0";"0";"0";"0";"0";"0";"0";"1";"3";"0";"3";"0";"2";"0";"2";"0";"0"
"Netherlands";"11";"1389";"Jesse Koopman";"1";"3";"1";"1";"0";"0";"0";"2";"0";"0";"0";"0";"2";"0";"1";"1";"0";"1";"1";"0";"0"
"Netherlands";"12";"12481";"Flemming Kastrop";"3";"6";"2";"5";"0";"0";"1";"1";"0";"0";"0";"0";"4";"1";"2";"0";"0";"2";"2";"0";"0"
"Netherlands";"13";"12480";"Ted Huijsmans";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"10"
