"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Greece";"2";"1328";"Konstantinos Genidounias";"5";"6";"4";"4";"0";"0";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"1";"2";"0";"0"
"Greece";"3";"1329";"Dimitrios Skoumpakis";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"3";"1";"0";"0"
"Greece";"4";"862";"Konstantinos Gkiouvetsis";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0"
"Greece";"5";"1334";"Stylianos Argyropoulos";"2";"4";"0";"2";"0";"0";"2";"2";"0";"0";"0";"0";"1";"2";"1";"1";"0";"1";"1";"0";"0"
"Greece";"6";"1332";"Alexandros Papanastasiou";"2";"3";"1";"2";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"1";"1";"0";"3";"0";"0";"0"
"Greece";"11";"128";"Dimitrios Nikolaidis";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"1";"0";"0"
"Greece";"8";"11477";"Ioannis Alafragkis";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"1";"1";"1";"0";"0";"2";"0";"0";"0"
"Greece";"9";"4822";"Nikolaos Gkillas";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"1";"0";"0";"1";"0";"0";"0"
"Greece";"10";"177";"Konstantinos Kakaris";"1";"4";"1";"3";"0";"1";"0";"0";"0";"0";"0";"0";"0";"6";"1";"1";"0";"1";"1";"2";"0"
"Greece";"1";"963";"Panagiotis Tzortzatos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greece";"7";"1333";"Georgios Dervisis";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0"
"Montenegro";"13";"1378";"Petar Tesanovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"14"
"Montenegro";"8";"1373";"Bogdan Djurdjic";"2";"5";"0";"2";"0";"0";"1";"2";"1";"1";"0";"0";"4";"0";"0";"0";"0";"1";"1";"0";"0"
"Montenegro";"11";"2133";"Dusan Matkovic";"2";"3";"1";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0"
"Montenegro";"10";"1375";"Vladan Spaic";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"7";"0";"0";"0";"1";"0";"1";"0"
"Montenegro";"9";"375";"Aleksa Ukropina";"1";"4";"1";"2";"0";"1";"0";"1";"0";"0";"0";"0";"2";"0";"0";"1";"0";"1";"1";"0";"0"
"Greece";"12";"1338";"Angelos Vlachopoulos";"1";"5";"0";"2";"0";"1";"1";"1";"0";"1";"0";"0";"3";"0";"1";"0";"0";"0";"0";"0";"0"
"Montenegro";"7";"2155";"Miroslav Perkovic";"0";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"1";"1";"0"
"Montenegro";"6";"93";"Vlado Popadic";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"2";"0";"2";"0";"0";"0"
"Montenegro";"5";"2189";"Marko Mrsic";"1";"3";"0";"1";"0";"1";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0"
"Montenegro";"4";"94";"Kanstantin Averka";"2";"6";"1";"2";"0";"1";"1";"3";"0";"0";"0";"0";"3";"2";"1";"0";"3";"1";"2";"0";"0"
"Montenegro";"3";"111";"Vasilije Radovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"3";"0";"0";"0"
"Montenegro";"2";"12439";"Luka Murisic DEL";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"2";"1";"0";"0"
"Montenegro";"1";"1366";"Dejan Lazovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Montenegro";"12";"1369";"Marko Petkovic";"3";"6";"1";"3";"0";"0";"2";"3";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"3";"0";"0"
"Greece";"13";"11476";"Konstatinos Limarakis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"9"
