"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Serbia";"2";"702";"Stefan Brankovic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"5";"0";"0";"0";"2";"0";"0"
"Serbia";"3";"438";"Radomir Drasovic";"4";"6";"1";"3";"0";"0";"1";"1";"2";"2";"0";"0";"1";"1";"1";"0";"0";"1";"1";"0";"0"
"Serbia";"4";"381";"Sava Randjelovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0"
"Serbia";"5";"721";"Djordje Vucinic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"1";"0";"0";"3";"0";"0";"0"
"Serbia";"6";"1422";"Nemanja Vico";"2";"3";"0";"0";"0";"0";"2";"3";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0"
"Serbia";"10";"1029";"Vasilije Martinovic";"4";"5";"1";"2";"0";"0";"2";"2";"1";"1";"0";"0";"1";"2";"3";"0";"1";"0";"2";"0";"0"
"Serbia";"8";"719";"Petar Velkic";"2";"5";"0";"2";"0";"0";"2";"3";"0";"0";"0";"0";"0";"4";"0";"0";"0";"1";"0";"0";"0"
"Serbia";"9";"707";"Luka Pljevancic";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"2";"0";"0";"0"
"Serbia";"1";"2383";"Dimitrije Risticevic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8"
"Serbia";"11";"670";"Ognjen Stojanovic";"3";"6";"2";"3";"0";"0";"0";"2";"0";"0";"1";"1";"1";"2";"1";"2";"0";"1";"2";"0";"0"
"Serbia";"7";"733";"Strahinja Rasovic";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"2";"0";"2";"0";"1";"0";"2";"0";"0"
"Romania";"13";"12433";"Adrian Mihaluta";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"Romania";"9";"126";"Silvian Colodrovschi";"1";"3";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"2";"0";"0"
"Romania";"11";"12431";"Raducu Dinca";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"3";"0";"0"
"Romania";"10";"1398";"Vlad Georgescu";"0";"6";"0";"4";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"1";"0";"0"
"Serbia";"12";"439";"Viktor Rasovic";"1";"3";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1";"3";"1";"0";"1";"0";"1";"0";"0";"0"
"Romania";"8";"12435";"Bogdan Remes";"0";"2";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"2";"0";"0";"2";"1";"0";"0"
"Romania";"7";"12437";"Ionut-Valentin Vranceanu";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"4";"0";"0"
"Romania";"6";"1397";"Andrei Prioteasa";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"2";"0";"0";"0"
"Romania";"5";"1396";"Victor-Andrei Antipa";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"Romania";"4";"1399";"Tudor Fulea";"0";"5";"0";"3";"0";"0";"0";"1";"0";"1";"0";"0";"0";"2";"0";"0";"0";"1";"2";"0";"0"
"Romania";"3";"779";"Francesco Iudean";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Romania";"2";"12434";"Andrei Neamtu";"0";"3";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"3";"0";"2";"2";"6";"0";"0"
"Romania";"1";"1392";"Marius-Florin Tic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"7"
"Romania";"12";"1403";"Levente Vancsik";"0";"3";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"3";"0";"0"
"Serbia";"13";"692";"Lazar Dobozanov";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"7"
