"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Spain";"1";"581";"Unai Aguirre";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"10"
"Spain";"2";"1289";"Alberto Munarriz";"0";"2";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"3";"2";"0";"0";"0";"2";"0";"1";"0"
"Spain";"3";"1290";"Alvaro Granados";"1";"5";"0";"2";"0";"0";"1";"3";"0";"0";"0";"0";"0";"0";"2";"1";"0";"2";"0";"0";"0"
"Spain";"4";"1291";"Bernat Sanahuja";"1";"7";"0";"3";"0";"0";"1";"4";"0";"0";"0";"0";"1";"2";"0";"2";"0";"1";"2";"0";"0"
"Spain";"5";"1292";"Miguel de Toro";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"0";"1";"0";"0";"1";"1";"0"
"Spain";"6";"1293";"Marc Larumbe";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"2";"1";"0";"0"
"Spain";"7";"410";"Martin Famera";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"2";"0";"0";"1";"1";"0";"0";"0"
"Spain";"8";"2377";"Sergi Cabanas";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"1";"0";"0";"0"
"Spain";"9";"1296";"Roger Tahull";"0";"4";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"1";"0";"0"
"Spain";"10";"1297";"Felipe Perrone";"1";"2";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"1";"1";"0"
"Spain";"11";"356";"Alberto Barroso";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"2";"1";"0";"0"
"Spain";"12";"1299";"Alejandro Bustos";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"2";"1";"0";"0";"1";"0";"0";"0"
"Spain";"13";"1300";"Eduardo Lorrio";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Italy";"1";"1353";"Marco Del Lungo";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9"
"Italy";"2";"1354";"Francesco Di Fulvio";"1";"5";"0";"0";"0";"4";"0";"0";"1";"1";"0";"0";"2";"3";"0";"2";"1";"2";"3";"0";"0"
"Italy";"3";"531";"Luca Damonte";"2";"4";"2";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"2";"2";"0";"2";"1";"1";"0"
"Italy";"5";"1357";"Andrea Fondelli";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"Italy";"7";"1359";"Vincenzo Renzuto";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0"
"Italy";"13";"1365";"Gianmarco Nicosia";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Italy";"12";"1364";"Vincenzo Dolce";"1";"3";"0";"1";"0";"0";"0";"1";"1";"1";"0";"0";"1";"0";"0";"1";"0";"2";"2";"2";"0"
"Italy";"10";"532";"Lorenzo Bruni";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"6";"0";"1";"0";"2";"1";"0";"0"
"Italy";"9";"134";"Nicholas Presciutti";"0";"4";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"3";"0";"0";"0"
"Italy";"4";"6039";"Matteo Iocchi Gratta";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"3";"0";"0";"0"
"Italy";"11";"135";"Jacopo Alesiani";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0"
"Italy";"6";"136";"Giacomo Cannella";"1";"5";"0";"1";"0";"2";"1";"2";"0";"0";"0";"0";"0";"0";"2";"1";"1";"1";"0";"0";"0"
