"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Hungary";"1";"371";"Marton Levai";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Hungary";"2";"1341";"Daniel Angyal";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"1";"1";"0";"2";"1";"1";"0"
"Croatia";"1";"484";"Marko Bijac";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"7"
"Croatia";"3";"77";"Loren Fatovic";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"1";"3";"1";"0";"0";"1";"0";"0";"0"
"Croatia";"4";"54";"Ivan Krapic";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0"
"Croatia";"5";"6";"Franko Lazic";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Croatia";"2";"60";"Rino Buric";"3";"6";"1";"4";"0";"0";"2";"2";"0";"0";"0";"0";"0";"1";"1";"0";"0";"3";"1";"1";"0"
"Croatia";"6";"4";"Luka Bukic";"0";"4";"0";"2";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"2";"1";"2";"3";"0";"0";"0"
"Croatia";"9";"917";"Jerko Marinic Kragic";"2";"5";"0";"1";"0";"0";"0";"2";"2";"2";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0";"0"
"Croatia";"10";"1";"Josip Vrlic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"1";"0";"0";"1";"1";"1";"0"
"Croatia";"11";"915";"Andrija Basic";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"3";"1";"1";"0";"0";"0";"0";"1";"0"
"Croatia";"12";"1410";"Konstantin Kharkov";"3";"5";"1";"2";"0";"1";"2";"2";"0";"0";"0";"0";"1";"0";"0";"1";"1";"2";"2";"0";"0"
"Croatia";"13";"75";"Toni Popadic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Croatia";"8";"81";"Marko Zuvela";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"5";"0";"1";"0";"1";"1";"0";"0"
"Croatia";"7";"7";"Matias Biljaka";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"1";"0";"0"
"Hungary";"3";"1342";"Krisztian Manhercz";"1";"4";"0";"1";"0";"1";"0";"0";"1";"2";"0";"0";"0";"1";"3";"0";"0";"1";"0";"0";"0"
"Hungary";"4";"2376";"Akos Konarik";"1";"2";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Hungary";"5";"817";"Adam Nagy";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0"
"Hungary";"6";"4835";"Erik Molnar";"2";"2";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"2";"1";"0";"0";"3";"1";"1";"0"
"Hungary";"7";"1343";"Gergo Zalanki";"1";"6";"0";"2";"0";"1";"1";"3";"0";"0";"0";"0";"1";"2";"2";"1";"0";"1";"0";"1";"0"
"Hungary";"8";"374";"Gergely Burian";"0";"3";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"2";"1";"0";"0";"0";"1";"0";"0";"0"
"Hungary";"9";"450";"Toni Josef Nemet";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"2";"0"
"Hungary";"10";"2367";"Gergo Fekete";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"3";"0";"0";"0"
"Hungary";"11";"1347";"Szilard Jansik";"2";"7";"0";"3";"0";"1";"1";"2";"1";"1";"0";"0";"2";"0";"0";"1";"0";"2";"0";"1";"0"
"Hungary";"12";"2368";"Vendel Vigvari";"1";"2";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"2";"1";"1";"0";"0";"0"
"Hungary";"13";"1352";"Soma Vogel";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8"
