"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Georgia";"1";"1261";"Irakli Razmadze";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7"
"Georgia";"2";"2455";"Saba Tkeshelashvili";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Georgia";"3";"12213";"Sandro Adeishvili";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0"
"Georgia";"4";"1484";"Nika Shushiashvili";"0";"5";"0";"4";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"3";"0";"0"
"Georgia";"5";"1253";"Andria Bitadze";"1";"3";"0";"1";"0";"0";"1";"2";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"1";"2";"0"
"Georgia";"6";"1254";"Marko Jelaca";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0"
"Georgia";"7";"1255";"Khvicha Jakhaia";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0"
"Georgia";"8";"947";"Artsiom Dzikhtsiarenka";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"3";"1";"0";"0"
"Georgia";"9";"1252";"Revaz Imnaishvili";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"Georgia";"10";"2369";"Besarion Akhvlediani";"1";"2";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"Georgia";"11";"715";"Dusan Vasic";"1";"3";"0";"1";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"Georgia";"12";"1377";"Stefan Pjesivac";"2";"6";"1";"5";"0";"0";"1";"1";"0";"0";"0";"0";"0";"4";"1";"0";"0";"1";"2";"1";"0"
"Georgia";"13";"888";"Beka Kapanadze";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3"
"Italy";"1";"1353";"Marco Del Lungo";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9"
"Italy";"2";"1354";"Francesco Di Fulvio";"5";"10";"3";"7";"0";"1";"0";"0";"1";"1";"1";"1";"2";"1";"0";"0";"0";"0";"0";"1";"0"
"Italy";"3";"531";"Luca Damonte";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"1";"0";"1";"0";"0";"0"
"Italy";"4";"797";"Luca Marziali";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0"
"Italy";"5";"1357";"Andrea Fondelli";"5";"6";"0";"0";"0";"0";"3";"4";"1";"1";"1";"1";"2";"0";"0";"0";"0";"2";"0";"0";"0"
"Italy";"6";"136";"Giacomo Cannella";"2";"2";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Italy";"7";"1359";"Vincenzo Renzuto";"2";"4";"0";"2";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Italy";"8";"1358";"Alessandro Velotto";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"1";"1";"0";"0";"1";"1";"0";"0"
"Italy";"9";"6037";"Francesco Condemi";"4";"6";"2";"3";"0";"0";"1";"2";"1";"1";"0";"0";"0";"2";"1";"1";"2";"1";"0";"0";"0"
"Italy";"10";"532";"Lorenzo Bruni";"1";"2";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"4";"0";"0";"0";"0";"1";"0";"0"
"Italy";"11";"493";"Edoardo Di Somma";"1";"4";"1";"4";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"1";"0";"1";"2";"0";"0";"0"
"Italy";"12";"1364";"Vincenzo Dolce";"1";"2";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"4";"1";"1";"0";"1";"1";"0";"0";"0"
"Italy";"13";"1365";"Gianmarco Nicosia";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4"
