"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Germany";"1";"2454";"Felix Benke";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"8"
"Germany";"2";"4997";"Zoran Bozic";"4";"9";"2";"6";"0";"0";"2";"3";"0";"0";"0";"0";"1";"0";"0";"1";"0";"2";"1";"0";"0"
"Germany";"3";"967";"Ferdinand Korbel";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"4";"0";"0";"0";"1";"1";"1";"0"
"Germany";"4";"2218";"Mark Dyck";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Germany";"5";"1318";"Fynn Schutze";"4";"6";"2";"3";"0";"0";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0"
"Germany";"6";"11491";"Philipp Dolff";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Germany";"7";"1320";"Denis Strelezkij";"2";"10";"2";"8";"0";"0";"0";"2";"0";"0";"0";"0";"3";"0";"2";"2";"0";"1";"2";"1";"0"
"Germany";"8";"1481";"Yannek Chiru";"4";"5";"1";"2";"0";"0";"1";"1";"1";"1";"1";"1";"1";"2";"2";"0";"4";"1";"1";"0";"0"
"Germany";"9";"1475";"Aleks Sekulic";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"1";"0";"1";"0";"0";"0"
"Germany";"10";"12168";"Lukas Kuppers";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Germany";"11";"12169";"Niclas Schipper";"2";"3";"1";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"0"
"Germany";"12";"5001";"Mark Gansen";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"2";"0";"2";"1";"0";"0"
"Germany";"13";"877";"Max Vernet Schweimer";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"Malta";"1";"12461";"Jake Tanti";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"10"
"Malta";"2";"12456";"Nicholas Bugelli";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"2";"0";"0";"0"
"Malta";"3";"12458";"Liam Galea";"4";"6";"2";"2";"0";"0";"2";"4";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0"
"Malta";"4";"13732";"Mark Castillo";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"1";"0";"1";"0"
"Malta";"5";"12460";"Sam Gialanze";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"1";"0";"1";"0"
"Malta";"6";"13734";"Jake Cachia";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Malta";"7";"2125";"Jake Muscat";"4";"7";"1";"3";"0";"1";"3";"3";"0";"0";"0";"0";"2";"0";"1";"3";"0";"1";"1";"1";"0"
"Malta";"8";"13731";"Jayden Cutajar";"1";"6";"1";"3";"0";"0";"0";"3";"0";"0";"0";"0";"2";"0";"1";"0";"0";"2";"2";"1";"0"
"Malta";"9";"1431";"Jeremy Abela";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"1";"0";"0";"0"
"Malta";"10";"12463";"Nikolai Zammit";"2";"3";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"1";"0";"0";"0";"0";"0";"0"
"Malta";"11";"1427";"Darren Zammit";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"Malta";"12";"19210";"Matthias Azzopardi";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Malta";"13";"19209";"Benjamin Busuttil";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
