"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Hungary";"1";"1470";"Mark Banyai";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"10"
"Hungary";"2";"13744";"David Tatrai";"2";"4";"1";"2";"0";"0";"0";"1";"0";"0";"1";"1";"2";"0";"0";"0";"0";"1";"2";"0";"0"
"Hungary";"3";"4835";"Erik Molnar";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"1";"1";"0";"0"
"Hungary";"4";"1346";"Zoltan Pohl";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"2";"0";"0";"0"
"Hungary";"5";"4837";"Vince Vigvari";"0";"4";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"3";"1";"0"
"Hungary";"6";"817";"Adam Nagy";"1";"4";"0";"2";"0";"0";"1";"2";"0";"0";"0";"0";"0";"2";"0";"1";"0";"3";"0";"0";"0"
"Hungary";"7";"2367";"Gergo Fekete";"3";"5";"1";"3";"1";"1";"0";"0";"1";"1";"0";"0";"0";"2";"0";"0";"0";"2";"0";"1";"0"
"Hungary";"8";"374";"Gergely Burian";"2";"4";"2";"3";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"2";"0";"0";"1";"0";"0"
"Hungary";"9";"17523";"Peter Kovacs";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"2";"0";"1";"0"
"Hungary";"10";"2368";"Vendel Vigvari";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"1";"1";"0";"0"
"Hungary";"11";"823";"Zsombor Vismeg";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
"Hungary";"12";"1351";"Balazs Harai";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"2";"0";"0";"0"
"Hungary";"13";"15241";"Viktor Gyapjas";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greece";"1";"1327";"Emmanouil Zerdevas";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"11"
"Greece";"2";"1328";"Konstantinos Genidounias";"0";"4";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"1";"0";"0"
"Greece";"3";"1329";"Dimitrios Skoumpakis";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"2";"0";"0";"1";"1";"0";"0"
"Greece";"4";"862";"Konstantinos Gkiouvetsis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"Greece";"5";"1331";"Ioannis Fountoulis";"2";"4";"1";"2";"0";"0";"1";"2";"0";"0";"0";"0";"1";"1";"0";"0";"0";"2";"0";"0";"0"
"Greece";"6";"1332";"Alexandros Papanastasiou";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"2";"0";"0";"0"
"Greece";"7";"1333";"Georgios Dervisis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0"
"Greece";"8";"1334";"Stylianos Argyropoulos";"2";"6";"0";"2";"0";"0";"0";"2";"2";"2";"0";"0";"1";"4";"0";"0";"0";"0";"0";"1";"0"
"Greece";"9";"128";"Dimitrios Nikolaidis";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"1";"1";"0"
"Greece";"10";"177";"Konstantinos Kakaris";"2";"4";"2";"2";"0";"0";"0";"2";"0";"0";"0";"0";"0";"6";"0";"1";"0";"0";"1";"2";"0"
"Greece";"11";"11477";"Ioannis Alafragkis";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Greece";"12";"1338";"Angelos Vlachopoulos";"2";"4";"1";"3";"0";"0";"0";"0";"1";"1";"0";"0";"0";"2";"0";"0";"0";"2";"1";"1";"0"
"Greece";"13";"963";"Panagiotis Tzortzatos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
