"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Montenegro";"1";"1366";"Dejan Lazovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Montenegro";"2";"1367";"Drasko Brguljan";"2";"4";"2";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0"
"Montenegro";"3";"2155";"Miroslav Perkovic";"4";"4";"4";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"1";"0";"0"
"Montenegro";"4";"94";"Kanstantin Averka";"1";"6";"1";"4";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"3";"2";"1";"0";"0"
"Montenegro";"5";"2147";"Aljosa Macic";"1";"2";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"2";"0";"0";"0"
"Montenegro";"6";"93";"Vlado Popadic";"3";"6";"2";"5";"1";"1";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"2";"1";"0";"0"
"Montenegro";"7";"1372";"Stefan Vidovic";"2";"5";"2";"4";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"1";"0";"0"
"Montenegro";"8";"109";"Jovan Vujovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"1";"0"
"Montenegro";"9";"375";"Aleksa Ukropina";"3";"7";"2";"3";"0";"1";"1";"3";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0"
"Montenegro";"10";"1375";"Vladan Spaic";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"5";"0";"0";"0";"0";"1";"1";"0"
"Montenegro";"11";"2133";"Dusan Matkovic";"3";"6";"0";"2";"0";"0";"3";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Montenegro";"12";"111";"Vasilije Radovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0";"0";"1";"1";"1";"0"
"Montenegro";"13";"1378";"Petar Tesanovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"12"
"France";"1";"1471";"Arshak Hovhannisyan";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"France";"2";"1302";"Remi Saudadier";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"1";"1";"0";"1";"0";"0";"0"
"France";"3";"1307";"Ugo Crousillat";"4";"7";"2";"4";"0";"0";"1";"1";"1";"2";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0"
"France";"4";"913";"Duje Zivkovic";"2";"4";"2";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"France";"5";"1305";"Enzo Khasz";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"3";"0";"0";"0"
"France";"6";"1304";"Thomas Vernoux";"6";"11";"4";"8";"0";"0";"2";"3";"0";"0";"0";"0";"2";"3";"1";"0";"0";"0";"2";"0";"0"
"France";"7";"1303";"Romain Marion-Vernoux";"2";"4";"2";"2";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0"
"France";"8";"600";"Emil Bjorch";"1";"2";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0"
"France";"9";"1309";"Mehdi Marzouki";"4";"6";"3";"4";"0";"0";"1";"2";"0";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"1";"0"
"France";"10";"1362";"Michael Bodegas";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"2";"2";"2";"0"
"France";"11";"1311";"Pierre-Frederic Vanpeperstraete";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3";"0";"0";"0"
"France";"12";"1310";"Charles Canonne";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"France";"13";"1313";"Hugo Fontani";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"14"
