"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Netherlands";"1";"12480";"Ted Huijsmans";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"9"
"Netherlands";"2";"12478";"Bilal Gbadamassi";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0";"1";"0";"0"
"Netherlands";"3";"19207";"Jeroen Rouwenhorst";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"1";"0"
"Netherlands";"4";"12481";"Flemming Kastrop";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Netherlands";"5";"1383";"Guus van Ijperen";"1";"3";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0"
"Netherlands";"6";"1382";"Sam van den Burg";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"2";"0";"0";"0"
"Netherlands";"7";"12482";"Kas Te Riele";"1";"5";"0";"2";"0";"0";"1";"3";"0";"0";"0";"0";"3";"0";"1";"0";"1";"0";"0";"0";"0"
"Netherlands";"8";"1386";"Jesse Nispeling";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"3";"0";"0";"0"
"Netherlands";"9";"12489";"Jorn Muller";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"3";"0";"0";"0";"0"
"Netherlands";"10";"12477";"Tom de Weerd";"2";"2";"0";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"3";"2";"1";"0";"0";"1";"0";"0"
"Netherlands";"11";"1389";"Jesse Koopman";"1";"3";"0";"1";"0";"0";"1";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0"
"Netherlands";"12";"13674";"Lars ten Broek";"2";"5";"1";"2";"0";"1";"1";"2";"0";"0";"0";"0";"1";"2";"1";"2";"0";"0";"1";"1";"0"
"Netherlands";"13";"18080";"Joran Westerveld";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Romania";"1";"1392";"Marius-Florin Tic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10"
"Romania";"2";"16647";"David Belenyesi";"1";"3";"0";"1";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0"
"Romania";"3";"2066";"Matei - Ioan Lutescu";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"1";"0";"0"
"Romania";"4";"1399";"Tudor-Andrei Fulea";"4";"5";"2";"2";"1";"1";"1";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"2";"0";"0"
"Romania";"5";"12437";"Ionut-Valentin Vranceanu";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Romania";"6";"1397";"Andrei Prioteasa";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"1";"0";"0"
"Romania";"7";"13709";"Andrei Tepelus";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Romania";"8";"12434";"Andrei-Radu-Ionut Neamtu";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"2";"0";"0"
"Romania";"9";"126";"Silvian Colodrovschi";"3";"5";"2";"3";"0";"0";"1";"2";"0";"0";"0";"0";"1";"4";"2";"2";"0";"0";"1";"0";"0"
"Romania";"10";"1398";"Vlad-Luca Georgescu";"1";"4";"1";"3";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"1";"0";"0";"1";"1";"0";"0"
"Romania";"11";"779";"Francesco Iudean";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"1";"0";"0"
"Romania";"12";"1403";"Levente Vancsik";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"4";"1";"0";"0";"2";"0";"0";"0"
"Romania";"13";"769";"Eduar-Mihai Dragusin";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
