"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Serbia";"1";"718";"Radoslav Filipovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2"
"Serbia";"2";"496";"Dusan Mandic";"2";"4";"2";"3";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"1";"1";"0";"1";"0";"0";"0"
"Serbia";"3";"733";"Strahinja Rasovic";"3";"3";"1";"1";"0";"0";"1";"1";"1";"1";"0";"0";"0";"1";"2";"0";"1";"0";"0";"0";"0"
"Serbia";"4";"381";"Sava Randjelovic";"3";"3";"2";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"2";"1";"0";"1";"0";"0";"0"
"Serbia";"5";"440";"Djordje Lazic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3";"0";"0";"0";"0";"1";"3";"0"
"Serbia";"6";"723";"Marko Radulovic";"4";"8";"3";"6";"0";"0";"0";"1";"0";"0";"1";"1";"0";"2";"2";"0";"0";"0";"1";"0";"0"
"Serbia";"7";"438";"Radomir Drasovic";"3";"5";"3";"5";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"1";"1";"0";"1";"0";"0";"0"
"Serbia";"8";"464";"Nikola Jaksic";"3";"3";"1";"1";"0";"0";"1";"1";"1";"1";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0"
"Serbia";"9";"1027";"Vuk Milojevic";"2";"3";"1";"2";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"2";"0";"1";"1";"2";"0";"0"
"Serbia";"10";"380";"Nemanja Ubovic";"0";"3";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"1";"0"
"Serbia";"11";"696";"Nikola Lukic";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"2";"0";"1";"1";"0";"0";"0"
"Serbia";"12";"439";"Viktor Rasovic";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"1";"1";"0";"0"
"Serbia";"13";"378";"Branislav Mitrovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4"
"Israel";"1";"12441";"Yahav Fire";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7"
"Israel";"2";"12452";"Or Schlein";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0"
"Israel";"3";"12444";"Ronen Gros";"1";"4";"0";"2";"0";"0";"0";"1";"1";"1";"0";"0";"0";"2";"1";"0";"1";"0";"1";"0";"0"
"Israel";"4";"12448";"Yuval Klarfeld";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"3";"2";"0";"0"
"Israel";"5";"19255";"Vlad Begin";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"2";"0";"0"
"Israel";"6";"19258";"Itai Roth";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0"
"Israel";"7";"19256";"Elai Ben Gal Chalutz";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"2";"5";"0";"0"
"Israel";"8";"12443";"Ido Goldschmidt";"0";"5";"0";"4";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3";"1";"0";"0"
"Israel";"9";"12450";"Dor Koter";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"0"
"Israel";"10";"12451";"Yoav Rendler";"0";"4";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0"
"Israel";"11";"12440";"Ori Buzaglo";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"1";"0"
"Israel";"12";"12442";"Tal Fotin";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"3";"0";"0"
"Israel";"13";"12453";"Maxim Smirnov";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
