"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Georgia";"1";"1261";"Irakli Razmadze";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"11"
"Georgia";"2";"2369";"Besarion Akhvlediani";"3";"3";"1";"1";"0";"0";"2";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0"
"Georgia";"3";"1483";"Valiko Dadvani";"1";"2";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"2";"0";"0";"0"
"Georgia";"4";"1484";"Nika Shushiashvili";"0";"5";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"1";"5";"1";"0"
"Georgia";"5";"1253";"Andria Bitadze";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"1";"1";"0"
"Georgia";"6";"1254";"Marko Jelaca";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Georgia";"12";"1377";"Stefan Pjesivac";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"1";"2";"1";"0"
"Georgia";"7";"1255";"Khvicha Jakhaia";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Georgia";"8";"947";"Artsiom Dzikhtsiarenka";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0"
"Georgia";"9";"1252";"Revaz Imnaishvili";"1";"2";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"1";"0";"0";"3";"0";"0";"0"
"Georgia";"10";"1258";"Giorgi Magrakvelidze";"2";"4";"1";"1";"0";"1";"1";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
"Georgia";"11";"715";"Dusan Vasic";"2";"3";"1";"1";"0";"1";"0";"0";"1";"1";"0";"0";"3";"3";"1";"0";"0";"1";"0";"0";"0"
"Georgia";"13";"888";"Beka Kapanadze";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Hungary";"1";"1470";"Mark Banyai";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Hungary";"2";"13744";"David Tatrai";"3";"5";"3";"4";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"2";"1";"2";"1";"1";"0";"0"
"Hungary";"3";"4835";"Erik Molnar";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0"
"Hungary";"4";"1346";"Zoltan Pohl";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"1";"1";"0";"2";"0";"0";"0"
"Hungary";"5";"4837";"Vince Vigvari";"3";"6";"1";"3";"0";"0";"2";"2";"0";"1";"0";"0";"3";"2";"0";"1";"0";"2";"2";"0";"0"
"Hungary";"6";"817";"Adam Nagy";"4";"6";"1";"2";"0";"0";"3";"4";"0";"0";"0";"0";"4";"0";"3";"0";"0";"2";"2";"0";"0"
"Hungary";"7";"2367";"Gergo Fekete";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"1";"0"
"Hungary";"8";"374";"Gergely Burian";"2";"5";"1";"3";"0";"0";"0";"1";"1";"1";"0";"0";"1";"1";"3";"0";"0";"0";"0";"0";"0"
"Hungary";"9";"17523";"Peter Kovacs";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"1";"0";"0";"2";"0";"0"
"Hungary";"10";"13745";"Vince Varga";"1";"2";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"2";"0";"0";"0";"2";"0";"0";"0"
"Hungary";"11";"823";"Zsombor Vismeg";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"2";"0";"0";"0"
"Hungary";"12";"437";"Zsombor Szeghalmi";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Hungary";"13";"15241";"Viktor Gyapjas";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7"
