"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Slovenia";"1";"12459";"Jure Beton";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9"
"Slovenia";"2";"12470";"Benjamin Popovic";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"3";"0";"0"
"Slovenia";"3";"12466";"Jasa Kadivec";"1";"3";"0";"1";"0";"0";"0";"1";"1";"1";"0";"0";"0";"4";"0";"0";"0";"2";"3";"0";"0"
"Slovenia";"4";"4871";"Matija Bernard Canc";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"1";"0";"0";"0";"1";"0"
"Slovenia";"5";"12467";"Jasa Lah";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0"
"Slovenia";"6";"12473";"Vukasin Stefanovic";"1";"2";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"2";"0";"0"
"Slovenia";"7";"8442";"Andraz Pusavec";"1";"4";"0";"3";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"3";"3";"0";"0"
"Slovenia";"8";"14080";"Miha Santak";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0"
"Slovenia";"9";"14052";"Jurij Seljak";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"2";"0";"0"
"Slovenia";"10";"12465";"Jan Justin";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"Slovenia";"11";"12475";"Aljaz Troppan";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"1";"2";"0";"1";"1";"1";"0"
"Slovenia";"12";"12464";"Aleksander Cerar";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"2";"1";"1";"0"
"Slovenia";"13";"12476";"Gasper Zurbi";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Romania";"1";"1392";"Marius-Florin Tic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"6"
"Romania";"2";"16647";"David Belenyesi";"1";"3";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0"
"Romania";"3";"2066";"Matei - Ioan Lutescu";"2";"3";"1";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"2";"1";"0";"2";"0";"0";"0"
"Romania";"4";"1396";"Victor-Andrei Antipa";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"3";"0";"0";"0"
"Romania";"5";"12437";"Ionut-Valentin Vranceanu";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0"
"Romania";"6";"1397";"Andrei Prioteasa";"2";"4";"2";"3";"0";"0";"0";"1";"0";"0";"0";"0";"2";"1";"0";"0";"2";"1";"1";"0";"0"
"Romania";"7";"13709";"Andrei Tepelus";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"0";"0"
"Romania";"8";"12434";"Andrei-Radu-Ionut Neamtu";"0";"5";"0";"3";"0";"0";"0";"2";"0";"0";"0";"0";"1";"1";"2";"0";"1";"1";"0";"0";"0"
"Romania";"9";"126";"Silvian Colodrovschi";"2";"5";"2";"5";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3";"1";"0";"0";"0";"2";"1";"0"
"Romania";"10";"1398";"Vlad-Luca Georgescu";"3";"5";"2";"3";"0";"0";"1";"2";"0";"0";"0";"0";"1";"2";"2";"1";"0";"1";"1";"3";"0"
"Romania";"11";"779";"Francesco Iudean";"0";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"2";"0";"3";"0";"0";"2";"0";"0";"0"
"Romania";"12";"2070";"David-Joan Bota";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"4";"0";"0";"0";"1";"0";"0";"0"
"Romania";"13";"769";"Eduar-Mihai Dragusin";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
