"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Serbia";"1";"718";"Radoslav Filipovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Serbia";"2";"496";"Dusan Mandic";"3";"5";"0";"2";"1";"1";"1";"1";"1";"1";"0";"0";"2";"1";"0";"0";"0";"0";"0";"1";"0"
"Serbia";"3";"733";"Strahinja Rasovic";"1";"3";"0";"1";"0";"0";"0";"1";"0";"0";"1";"1";"2";"0";"0";"1";"1";"0";"1";"1";"0"
"Serbia";"4";"381";"Sava Randjelovic";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0"
"Serbia";"5";"1422";"Nemanja Vico";"2";"4";"1";"2";"0";"0";"1";"2";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"1";"1";"0"
"Serbia";"6";"723";"Marko Radulovic";"4";"5";"1";"2";"0";"0";"0";"0";"0";"0";"3";"3";"1";"0";"1";"3";"0";"0";"1";"0";"0"
"Serbia";"7";"438";"Radomir Drasovic";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"3";"1";"0";"0";"0";"2";"0";"0";"0"
"Serbia";"8";"464";"Nikola Jaksic";"2";"3";"1";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"2";"2";"1";"0";"1";"3";"1";"0"
"Serbia";"9";"1027";"Vuk Milojevic";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"1";"1";"0";"0";"0"
"Serbia";"10";"380";"Nemanja Ubovic";"1";"4";"0";"3";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Serbia";"11";"1059";"Petar Jaksic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0"
"Serbia";"12";"439";"Viktor Rasovic";"0";"4";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"1";"0";"0";"0"
"Serbia";"13";"378";"Branislav Mitrovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"7"
"Germany";"1";"2454";"Felix Benke";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"14"
"Germany";"2";"4997";"Zoran Bozic";"0";"4";"0";"3";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"1";"0";"0"
"Germany";"3";"967";"Ferdinand Korbel";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"2";"1";"0"
"Germany";"4";"2218";"Mark Dyck";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0"
"Germany";"5";"1318";"Fynn Schutze";"2";"6";"0";"2";"0";"0";"2";"4";"0";"0";"0";"0";"0";"1";"2";"0";"0";"1";"3";"0";"0"
"Germany";"6";"4576";"Finn Taubert";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Germany";"7";"1320";"Denis Strelezkij";"2";"6";"1";"5";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"1";"1";"0";"1";"4";"0";"0"
"Germany";"8";"1481";"Yannek Chiru";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"2";"1";"2";"0";"0"
"Germany";"9";"1475";"Aleks Sekulic";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0"
"Germany";"10";"12168";"Lukas Kuppers";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Germany";"11";"12169";"Niclas Schipper";"2";"3";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"1";"0";"0";"0"
"Germany";"12";"5001";"Mark Gansen";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"0";"0"
"Germany";"13";"877";"Max Vernet Schweimer";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
