"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Slovakia";"1";"1276";"Tomas Hoferica";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"9"
"Slovakia";"2";"12487";"Robert Kaid";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Slovakia";"3";"4983";"Patrik Tisaj";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Slovakia";"4";"13668";"Milan Matejka";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"1";"0";"1";"1";"1";"0"
"Slovakia";"5";"5016";"Tomas Zolovcik";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"Slovakia";"6";"1284";"Tomas Bielik";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"2";"0";"0";"0"
"Slovakia";"7";"1282";"Maros Tkac";"0";"4";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0"
"Slovakia";"8";"1283";"Marek Tkac";"0";"5";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"2";"2";"0";"0"
"Slovakia";"9";"1279";"Adam Furman";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"2";"1";"0";"0"
"Slovakia";"10";"4978";"Marco Mihal";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Slovakia";"11";"8280";"Matej Caraj";"2";"2";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"1";"1";"0"
"Slovakia";"12";"1287";"Samuel Balaz";"3";"9";"2";"6";"0";"0";"0";"2";"1";"1";"0";"0";"3";"1";"1";"1";"0";"1";"0";"0";"0"
"Slovakia";"13";"19259";"Filip Balogh";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Netherlands";"1";"12480";"Ted Huijsmans";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Netherlands";"2";"12478";"Bilal Gbadamassi";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"2";"0";"0";"1";"1";"0"
"Netherlands";"3";"1382";"Sam van den Burg";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0"
"Netherlands";"4";"12481";"Flemming Kastrop";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"1";"0";"2";"0";"0";"0"
"Netherlands";"5";"1383";"Guus van Ijperen";"1";"3";"0";"1";"0";"0";"1";"2";"0";"0";"0";"0";"1";"9";"1";"0";"0";"1";"0";"0";"0"
"Netherlands";"6";"19208";"Tim de Mey";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0"
"Netherlands";"7";"12482";"Kas Te Riele";"2";"7";"0";"3";"0";"0";"0";"2";"0";"0";"2";"2";"3";"0";"1";"2";"3";"1";"2";"0";"0"
"Netherlands";"8";"1386";"Jesse Nispeling";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
"Netherlands";"9";"13688";"Mart van der Weijden";"3";"6";"2";"4";"0";"0";"1";"1";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0"
"Netherlands";"10";"12477";"Tom de Weerd";"2";"2";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"1";"0";"0";"2";"0";"0";"0"
"Netherlands";"11";"1389";"Jesse Koopman";"3";"7";"1";"4";"0";"0";"1";"2";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Netherlands";"12";"13674";"Lars ten Broek";"4";"5";"2";"3";"0";"0";"2";"2";"0";"0";"0";"0";"2";"1";"0";"1";"0";"1";"1";"0";"0"
"Netherlands";"13";"18080";"Joran Westerveld";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"8"
