"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Georgia";"1";"1261";"Irakli Razmadze";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"11"
"Georgia";"2";"2369";"Besarion Akhvlediani";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
"Georgia";"3";"1483";"Valiko Dadvani";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"Georgia";"4";"1484";"Nika Shushiashvili";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"1";"1";"0";"0"
"Georgia";"5";"1253";"Andria Bitadze";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"Georgia";"6";"1254";"Marko Jelaca";"6";"13";"4";"11";"0";"0";"2";"2";"0";"0";"0";"0";"0";"1";"1";"0";"0";"2";"1";"0";"0"
"Georgia";"7";"2455";"Saba Tkeshelashvili";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Georgia";"8";"947";"Artsiom Dzikhtsiarenka";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"2";"0";"0";"0"
"Georgia";"9";"1252";"Revaz Imnaishvili";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"1";"1";"0";"1";"0";"0";"0"
"Georgia";"10";"1258";"Giorgi Magrakvelidze";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0"
"Georgia";"11";"715";"Dusan Vasic";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"2";"1";"0";"0"
"Georgia";"12";"1377";"Stefan Pjesivac";"1";"2";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"7";"0";"0";"0";"0";"2";"0";"0"
"Georgia";"13";"888";"Beka Kapanadze";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greece";"1";"1327";"Emmanouil Zerdevas";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"6"
"Greece";"2";"1328";"Konstantinos Genidounias";"3";"3";"2";"2";"0";"0";"0";"0";"1";"1";"0";"0";"2";"0";"0";"2";"2";"0";"0";"0";"0"
"Greece";"3";"1329";"Dimitrios Skoumpakis";"1";"3";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0"
"Greece";"4";"867";"Efstathios Kalogeropoulos";"2";"4";"0";"1";"0";"0";"1";"2";"0";"0";"1";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0"
"Greece";"5";"1331";"Ioannis Fountoulis";"2";"5";"1";"4";"0";"0";"0";"0";"1";"1";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0"
"Greece";"6";"1332";"Alexandros Papanastasiou";"1";"4";"1";"4";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0"
"Greece";"7";"1333";"Georgios Dervisis";"1";"2";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Greece";"8";"1334";"Stylianos Argyropoulos";"3";"4";"1";"2";"0";"0";"1";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"3";"0";"0";"0"
"Greece";"9";"4822";"Nikolaos Gkillas";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"1";"2";"0";"0";"0"
"Greece";"10";"177";"Konstantinos Kakaris";"3";"6";"2";"4";"0";"0";"1";"2";"0";"0";"0";"0";"0";"3";"0";"1";"0";"0";"1";"0";"0"
"Greece";"11";"128";"Dimitrios Nikolaidis";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"4";"1";"0";"0";"0";"2";"0";"0"
"Greece";"12";"1338";"Angelos Vlachopoulos";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"5";"1";"1";"0";"0";"0";"0";"0";"0"
"Greece";"13";"963";"Panagiotis Tzortzatos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
