"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Germany";"1";"2454";"Felix Benke";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"6"
"Germany";"2";"4997";"Zoran Bozic";"2";"5";"1";"3";"0";"0";"1";"2";"0";"0";"0";"0";"2";"2";"2";"0";"0";"2";"1";"0";"0"
"Germany";"3";"881";"Sascha Seifert";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Germany";"4";"2218";"Mark Dyck";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
"Germany";"5";"1318";"Fynn Schutze";"3";"9";"3";"4";"0";"1";"0";"2";"0";"1";"0";"1";"2";"2";"1";"0";"0";"1";"0";"0";"0"
"Germany";"6";"4576";"Finn Taubert";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"Germany";"7";"1320";"Denis Strelezkij";"3";"5";"1";"2";"0";"0";"0";"1";"2";"2";"0";"0";"1";"3";"1";"0";"0";"0";"0";"0";"0"
"Germany";"8";"1481";"Yannek Chiru";"3";"9";"0";"6";"0";"0";"3";"3";"0";"0";"0";"0";"1";"0";"1";"2";"3";"0";"1";"0";"0"
"Germany";"9";"1475";"Aleks Sekulic";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"1";"0";"0";"0"
"Germany";"10";"12168";"Lukas Kuppers";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0"
"Germany";"11";"12169";"Niclas Schipper";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"2";"0";"0"
"Germany";"12";"5001";"Mark Gansen";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"2";"1";"0";"0"
"Germany";"13";"877";"Max Vernet Schweimer";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3"
"Israel";"1";"12441";"Yahav Fire";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"9"
"Israel";"2";"12452";"Or Schlein";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"1";"0";"0";"0";"3";"2";"0";"0"
"Israel";"3";"12444";"Ronen Gros";"1";"9";"0";"6";"0";"0";"0";"2";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Israel";"4";"12448";"Yuval Klarfeld";"1";"3";"0";"1";"0";"0";"1";"2";"0";"0";"0";"0";"0";"1";"1";"0";"0";"3";"0";"0";"0"
"Israel";"5";"19255";"Vlad Begin";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"3";"0";"0"
"Israel";"6";"19256";"Elai Ben Gal Chalutz";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"2";"1";"0";"0"
"Israel";"7";"19257";"Kay Halevy";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Israel";"8";"12443";"Ido Goldschmidt";"3";"6";"2";"4";"0";"1";"0";"0";"1";"1";"0";"0";"1";"1";"0";"2";"0";"1";"2";"0";"0"
"Israel";"9";"12450";"Dor Koter";"2";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
"Israel";"10";"12451";"Yoav Rendler";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"1";"3";"0";"0"
"Israel";"11";"12440";"Ori Buzaglo";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0"
"Israel";"12";"12446";"Tom Grundlyand";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"1";"0"
"Israel";"13";"12453";"Maxim Smirnov";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
