"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Hungary";"1";"1470";"Mark Banyai";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"Hungary";"2";"13744";"David Tatrai";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"2";"1";"1";"1";"0";"1";"1";"0";"0"
"Hungary";"3";"13745";"Vince Varga";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"2";"0";"1";"0"
"Hungary";"4";"1346";"Zoltan Pohl";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"2";"0";"2";"0";"0";"0"
"Hungary";"5";"4837";"Vince Vigvari";"2";"4";"1";"2";"0";"0";"1";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"3";"0";"0"
"Hungary";"6";"817";"Adam Nagy";"2";"4";"1";"3";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"2";"0";"1";"0";"1";"0"
"Hungary";"7";"2367";"Gergo Fekete";"3";"4";"3";"3";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"1";"0"
"Hungary";"8";"374";"Gergely Burian";"1";"5";"0";"3";"0";"0";"1";"2";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"2";"0";"0"
"Hungary";"9";"17523";"Peter Kovacs";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"5";"0";"0";"0";"2";"0";"1";"0"
"Hungary";"10";"2368";"Vendel Vigvari";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"2";"0";"0"
"Hungary";"11";"823";"Zsombor Vismeg";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Hungary";"12";"1351";"Balazs Harai";"1";"2";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"3";"0";"1";"0";"0";"1";"0";"0"
"Hungary";"13";"15241";"Viktor Gyapjas";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7"
"Italy";"1";"1353";"Marco Del Lungo";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8"
"Italy";"2";"6037";"Francesco Condemi";"1";"5";"0";"3";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1";"2";"0";"1";"0";"0"
"Italy";"3";"531";"Luca Damonte";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0"
"Italy";"4";"797";"Luca Marziali";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"4";"0";"0";"0";"2";"0";"0";"0"
"Italy";"5";"1357";"Andrea Fondelli";"1";"4";"1";"3";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0"
"Italy";"6";"136";"Giacomo Cannella";"0";"5";"0";"3";"0";"0";"0";"1";"0";"1";"0";"0";"1";"1";"0";"1";"1";"1";"3";"0";"0"
"Italy";"7";"1359";"Vincenzo Renzuto";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"2";"0";"0";"0"
"Italy";"8";"1360";"Gonzalo Echenique";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"1";"0";"1";"0"
"Italy";"9";"134";"Nicholas Presciutti";"0";"2";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"2";"0";"0"
"Italy";"10";"532";"Lorenzo Bruni";"0";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"5";"0";"0";"0";"1";"0";"1";"0"
"Italy";"11";"1358";"Alessandro Velotto";"1";"4";"1";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0"
"Italy";"12";"1364";"Vincenzo Dolce";"1";"3";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0"
"Italy";"13";"1365";"Gianmarco Nicosia";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1"
