"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Netherlands";"1";"12480";"Ted Huijsmans";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5"
"Netherlands";"2";"1382";"Sam van den Burg";"1";"3";"0";"1";"0";"0";"1";"2";"0";"0";"0";"0";"3";"0";"0";"1";"0";"1";"0";"0";"0"
"Netherlands";"3";"19207";"Jeroen Rouwenhorst";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"0";"0";"0";"1";"1";"0";"0"
"Netherlands";"4";"12481";"Flemming Kastrop";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"1";"0";"0"
"Netherlands";"5";"1383";"Guus van Ijperen";"3";"7";"0";"4";"0";"0";"2";"2";"0";"0";"1";"1";"0";"10";"1";"0";"0";"0";"0";"0";"0"
"Netherlands";"6";"19208";"Tim de Mey";"3";"6";"0";"0";"0";"0";"1";"4";"2";"2";"0";"0";"2";"0";"2";"0";"0";"0";"2";"0";"0"
"Netherlands";"7";"12482";"Kas Te Riele";"2";"3";"1";"1";"0";"0";"0";"1";"0";"0";"1";"1";"1";"0";"2";"1";"1";"2";"1";"0";"0"
"Netherlands";"8";"1386";"Jesse Nispeling";"3";"3";"1";"1";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0";"2";"1";"0";"2";"0";"0";"0"
"Netherlands";"9";"12489";"Jorn Muller";"1";"5";"0";"0";"0";"0";"0";"4";"0";"0";"1";"1";"2";"2";"0";"0";"2";"0";"0";"0";"0"
"Netherlands";"10";"12477";"Tom de Weerd";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"4";"0";"1";"1";"0";"1";"0";"0";"0"
"Netherlands";"11";"13688";"Mart van der Weijden";"5";"7";"2";"3";"0";"0";"1";"2";"1";"1";"1";"1";"2";"0";"0";"0";"0";"3";"0";"0";"0"
"Netherlands";"12";"13674";"Lars ten Broek";"5";"6";"0";"0";"0";"0";"5";"6";"0";"0";"0";"0";"0";"2";"3";"2";"0";"2";"0";"0";"0"
"Netherlands";"13";"18080";"Joran Westerveld";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"5"
"Slovenia";"1";"12459";"Jure Beton";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4"
"Slovenia";"2";"14080";"Miha Santak";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"1";"0";"0"
"Slovenia";"3";"8733";"Nikola Rajlic";"0";"4";"0";"2";"0";"0";"0";"2";"0";"0";"0";"0";"1";"1";"0";"0";"0";"3";"1";"1";"0"
"Slovenia";"4";"4871";"Matija Bernard Canc";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"3";"0";"1";"0";"0";"1";"1";"0"
"Slovenia";"5";"12467";"Jasa Lah";"1";"8";"0";"5";"0";"0";"1";"3";"0";"0";"0";"0";"0";"2";"0";"0";"0";"2";"2";"0";"0"
"Slovenia";"6";"12473";"Vukasin Stefanovic";"3";"11";"3";"9";"0";"0";"0";"2";"0";"0";"0";"0";"1";"1";"0";"0";"0";"2";"1";"0";"0"
"Slovenia";"7";"8442";"Andraz Pusavec";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Slovenia";"8";"12469";"Aleksander Paunovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"3";"0";"0";"0"
"Slovenia";"9";"14052";"Jurij Seljak";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Slovenia";"10";"12465";"Jan Justin";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"3";"0";"2";"0";"0";"0"
"Slovenia";"11";"12475";"Aljaz Troppan";"2";"5";"0";"1";"0";"0";"1";"2";"1";"2";"0";"0";"0";"4";"2";"2";"0";"2";"3";"1";"0"
"Slovenia";"12";"12464";"Aleksander Cerar";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"1";"0";"0";"3";"3";"0";"0"
"Slovenia";"13";"12476";"Gasper Zurbi";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4"
