"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Montenegro";"1";"1366";"Dejan Lazovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"Montenegro";"2";"1367";"Drasko Brguljan";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0"
"Montenegro";"3";"2155";"Miroslav Perkovic";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"3";"1";"0";"0";"0";"1";"1";"0"
"Montenegro";"4";"94";"Kanstantin Averka";"2";"3";"0";"0";"0";"0";"2";"3";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"1";"0";"0"
"Montenegro";"5";"2147";"Aljosa Macic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Montenegro";"6";"2189";"Marko Mrsic";"1";"6";"0";"4";"0";"0";"1";"2";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0"
"Montenegro";"7";"1372";"Stefan Vidovic";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0"
"Montenegro";"8";"1368";"Djuro Radovic";"0";"2";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"3";"0";"1";"0"
"Montenegro";"9";"375";"Aleksa Ukropina";"3";"5";"0";"2";"0";"0";"1";"1";"2";"2";"0";"0";"1";"1";"1";"0";"0";"2";"1";"0";"0"
"Montenegro";"10";"109";"Jovan Vujovic";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"1";"0";"0";"1";"0";"0"
"Montenegro";"11";"2133";"Dusan Matkovic";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0"
"Montenegro";"12";"111";"Vasilije Radovic";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"2";"2";"0";"0";"0";"1";"0";"0"
"Montenegro";"13";"1378";"Petar Tesanovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5"
"Germany";"1";"2454";"Felix Benke";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8"
"Germany";"2";"4997";"Zoran Bozic";"2";"8";"1";"7";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"2";"1";"0";"0"
"Germany";"3";"967";"Ferdinand Korbel";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Germany";"4";"2218";"Mark Dyck";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"2";"0";"2";"1";"1";"0"
"Germany";"5";"881";"Sascha Seifert";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Germany";"6";"4576";"Finn Taubert";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Germany";"7";"1320";"Denis Strelezkij";"3";"6";"2";"4";"1";"1";"0";"1";"0";"0";"0";"0";"0";"2";"1";"1";"0";"2";"2";"1";"0"
"Germany";"8";"1481";"Yannek Chiru";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"3";"2";"0";"4";"0";"3";"1";"0"
"Germany";"9";"1475";"Aleks Sekulic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0"
"Germany";"10";"12168";"Lukas Kuppers";"0";"5";"0";"3";"0";"1";"0";"1";"0";"0";"0";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0"
"Germany";"11";"12169";"Niclas Schipper";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3";"1";"1";"0"
"Germany";"13";"877";"Max Vernet Schweimer";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
