"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Slovenia";"1";"12459";"Jure Beton";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"16"
"Slovenia";"2";"12470";"Benjamin Popovic";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"2";"1";"0";"1";"3";"0";"0"
"Slovenia";"3";"12466";"Jasa Kadivec";"2";"6";"0";"2";"1";"2";"1";"1";"0";"1";"0";"0";"3";"1";"0";"0";"0";"3";"2";"1";"0"
"Slovenia";"4";"4871";"Matija Bernard Canc";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"0";"0";"0";"0";"1";"0"
"Slovenia";"5";"12467";"Jasa Lah";"0";"2";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0"
"Slovenia";"6";"12473";"Vukasin Stefanovic";"2";"5";"1";"3";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"2";"0";"0";"2";"2";"0";"0"
"Slovenia";"7";"14080";"Miha Santak";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"3";"0";"1";"0"
"Slovenia";"8";"12469";"Aleksander Paunovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"3";"1";"0";"0";"0";"0";"0"
"Slovenia";"9";"14052";"Jurij Seljak";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"1";"0";"0"
"Slovenia";"10";"12465";"Jan Justin";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0"
"Slovenia";"11";"12475";"Aljaz Troppan";"4";"6";"0";"2";"0";"0";"3";"3";"0";"0";"1";"1";"0";"1";"2";"0";"0";"0";"2";"1";"0"
"Slovenia";"12";"12464";"Aleksander Cerar";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"2";"0";"0";"0"
"Slovenia";"13";"12476";"Gasper Zurbi";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Malta";"1";"12461";"Jake Tanti";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"6"
"Malta";"2";"12456";"Nicholas Bugelli";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Malta";"3";"12458";"Liam Galea";"1";"3";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"1";"4";"1";"1";"0";"0";"3";"0";"0"
"Malta";"4";"13723";"Gianni Farrugia";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0"
"Malta";"5";"13734";"Jake Cachia";"2";"4";"1";"2";"0";"0";"1";"1";"0";"0";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0"
"Malta";"6";"13721";"Jake Bonavia";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0"
"Malta";"7";"2125";"Jake Muscat";"1";"9";"0";"3";"0";"1";"1";"5";"0";"0";"0";"0";"0";"1";"2";"0";"0";"3";"0";"0";"0"
"Malta";"8";"13731";"Jayden Cutajar";"4";"7";"1";"3";"0";"0";"2";"3";"1";"1";"0";"0";"2";"1";"3";"0";"0";"0";"2";"0";"0"
"Malta";"9";"1431";"Jeremy Abela";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"2";"1";"2";"0"
"Malta";"10";"12463";"Nikolai Zammit";"0";"3";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"2";"1";"0";"0"
"Malta";"11";"1427";"Darren Zammit";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"1";"0";"0";"2";"0";"0"
"Malta";"12";"19210";"Matthias Azzopardi";"0";"2";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
"Malta";"13";"19209";"Benjamin Busuttil";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
