"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Croatia";"11";"65";"Zvonimir Butic";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"2";"0";"0";"3";"2";"0";"0"
"Croatia";"10";"1";"Josip Vrlic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"3";"0"
"Croatia";"9";"917";"Jerko Marinic Kragic";"4";"5";"0";"0";"0";"0";"3";"4";"1";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0"
"Croatia";"8";"81";"Marko Zuvela";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"1";"0";"2";"1";"0";"0"
"Croatia";"7";"1064";"Ante Vukicevic";"2";"4";"0";"2";"1";"1";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"1";"0";"0"
"Croatia";"5";"7";"Matias Biljaka";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"3";"0";"0";"0"
"Croatia";"12";"1410";"Konstantin Kharkov";"1";"3";"1";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"2";"1";"0"
"Croatia";"4";"71";"Luka Loncar";"2";"2";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"4";"1";"0";"0";"0";"0";"0";"0"
"Croatia";"3";"77";"Loren Fatovic";"3";"5";"3";"4";"0";"0";"0";"1";"0";"0";"0";"0";"4";"0";"0";"1";"0";"0";"0";"0";"0"
"Croatia";"2";"60";"Rino Buric";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"2";"0";"2";"0";"0";"0"
"Croatia";"1";"484";"Marko Bijac";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"9"
"Croatia";"6";"4";"Luka Bukic";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"1";"0"
"Croatia";"13";"75";"Toni Popadic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greece";"1";"1327";"Emmanouil Zerdevas";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8"
"Greece";"2";"1328";"Konstantinos Genidounias";"1";"3";"1";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0"
"Greece";"3";"1329";"Dimitrios Skoumpakis";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"3";"1";"0";"0"
"Greece";"5";"1331";"Ioannis Fountoulis";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0"
"Greece";"6";"1332";"Alexandros Papanastasiou";"2";"6";"0";"3";"0";"0";"0";"1";"0";"0";"2";"2";"0";"1";"0";"1";"0";"0";"1";"0";"0"
"Greece";"8";"1334";"Stylianos Argyropoulos";"2";"3";"1";"1";"0";"0";"0";"1";"1";"1";"0";"0";"1";"1";"0";"0";"0";"2";"0";"0";"0"
"Greece";"10";"177";"Konstantinos Kakaris";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"2";"0";"2";"0";"1";"0"
"Greece";"11";"128";"Dimitrios Nikolaidis";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"1";"0";"0";"0";"0";"1";"0"
"Greece";"4";"862";"Konstantinos Gkiouvetsis";"0";"4";"0";"3";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Greece";"7";"867";"Efstathios Kalogeropoulos";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"2";"0";"0"
"Greece";"9";"11477";"Ioannis Alafragkis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Greece";"12";"1338";"Angelos Vlachopoulos";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"2";"1";"1";"0"
"Greece";"13";"963";"Panagiotis Tzortzatos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
