"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Spain";"1";"581";"Unai Aguirre";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"6"
"Spain";"2";"1289";"Alberto Munarriz";"2";"4";"1";"3";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0"
"Spain";"3";"1290";"Alvaro Granados";"6";"7";"4";"5";"0";"0";"1";"1";"1";"1";"0";"0";"3";"0";"0";"0";"2";"0";"1";"0";"0"
"Spain";"4";"1291";"Bernat Sanahuja";"5";"9";"4";"7";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Spain";"5";"1292";"Miguel de Toro";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"4";"0";"0";"0";"0";"0";"1";"0"
"Spain";"6";"1293";"Marc Larumbe";"2";"3";"1";"2";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0"
"Spain";"7";"420";"Unai Biel";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"1";"1";"0";"0"
"Spain";"8";"2377";"Sergi Cabanas";"2";"2";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"2";"1";"1";"0";"2";"1";"0";"0";"0"
"Spain";"9";"1296";"Roger Tahull";"4";"4";"2";"2";"0";"0";"2";"2";"0";"0";"0";"0";"0";"5";"1";"0";"0";"0";"0";"1";"0"
"Spain";"10";"1297";"Felipe Perrone";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"2";"1";"1";"0";"0";"0";"0";"0";"0"
"Spain";"11";"1298";"Blai Mallarach";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Spain";"12";"1299";"Alejandro Bustos";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0"
"Spain";"13";"1300";"Eduardo Lorrio";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"Romania";"1";"1392";"Marius-Florin Tic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2"
"Romania";"2";"16647";"David Belenyesi";"2";"2";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0"
"Romania";"3";"2066";"Matei - Ioan Lutescu";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0"
"Romania";"4";"1399";"Tudor-Andrei Fulea";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Romania";"5";"12437";"Ionut-Valentin Vranceanu";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Romania";"6";"1397";"Andrei Prioteasa";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"2";"0";"0"
"Romania";"7";"13709";"Andrei Tepelus";"1";"2";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"1";"0";"0"
"Romania";"8";"12434";"Andrei-Radu-Ionut Neamtu";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"1";"0"
"Romania";"9";"126";"Silvian Colodrovschi";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"0"
"Romania";"10";"1398";"Vlad-Luca Georgescu";"1";"2";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"5";"0";"0"
"Romania";"11";"779";"Francesco Iudean";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"Romania";"12";"1403";"Levente Vancsik";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"3";"0";"0";"0";"1";"2";"0";"0"
"Romania";"13";"769";"Eduar-Mihai Dragusin";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"3"
