"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Spain";"1";"581";"Unai Aguirre";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"14"
"Spain";"2";"1289";"Alberto Munarriz";"1";"3";"1";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"1";"0";"1";"0"
"Spain";"3";"1290";"Alvaro Granados";"2";"7";"0";"1";"0";"0";"1";"5";"1";"1";"0";"0";"2";"1";"1";"0";"0";"0";"1";"0";"0"
"Spain";"4";"1291";"Bernat Sanahuja";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"1";"2";"1";"0";"0"
"Spain";"5";"1292";"Miguel de Toro";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"3";"0";"2";"0";"1";"0";"0";"0"
"Spain";"6";"1293";"Marc Larumbe";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"2";"2";"0";"0"
"Spain";"7";"420";"Unai Biel";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0"
"Spain";"8";"2377";"Sergi Cabanas";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"2";"0";"0";"0"
"Spain";"9";"1296";"Roger Tahull";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"0";"0";"0";"0";"1";"0";"0"
"Spain";"10";"1297";"Felipe Perrone";"2";"6";"1";"4";"0";"0";"1";"2";"0";"0";"0";"0";"1";"1";"2";"1";"0";"1";"0";"0";"0"
"Spain";"11";"1298";"Blai Mallarach";"1";"2";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0"
"Spain";"12";"1299";"Alejandro Bustos";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"1";"0"
"Spain";"13";"1300";"Eduardo Lorrio";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Italy";"1";"1353";"Marco Del Lungo";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"11"
"Italy";"2";"1354";"Francesco Di Fulvio";"0";"7";"0";"4";"0";"2";"0";"1";"0";"0";"0";"0";"1";"3";"2";"2";"0";"1";"3";"0";"0"
"Italy";"3";"6037";"Francesco Condemi";"2";"2";"0";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0"
"Italy";"4";"797";"Luca Marziali";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"4";"1";"0";"0";"0";"1";"2";"0"
"Italy";"5";"1357";"Andrea Fondelli";"0";"4";"0";"2";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Italy";"6";"1358";"Alessandro Velotto";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0"
"Italy";"7";"1359";"Vincenzo Renzuto";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Italy";"8";"1360";"Gonzalo Echenique";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0"
"Italy";"9";"134";"Nicholas Presciutti";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0"
"Italy";"10";"532";"Lorenzo Bruni";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"1";"0";"1";"0"
"Italy";"11";"493";"Edoardo Di Somma";"1";"4";"0";"1";"0";"0";"0";"2";"1";"1";"0";"0";"0";"2";"0";"1";"1";"2";"0";"1";"0"
"Italy";"12";"1364";"Vincenzo Dolce";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0"
"Italy";"13";"1365";"Gianmarco Nicosia";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
