"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"France";"1";"1471";"Arshak Hovhannisyan";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"France";"2";"1302";"Remi Saudadier";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"2";"3";"0";"0"
"France";"3";"1307";"Ugo Crousillat";"4";"5";"1";"1";"0";"0";"0";"1";"2";"2";"1";"1";"1";"0";"0";"0";"0";"1";"2";"0";"0"
"France";"4";"2380";"Alexandre Bouet";"1";"4";"0";"3";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"France";"5";"1305";"Enzo Khasz";"3";"3";"1";"1";"0";"0";"2";"2";"0";"0";"0";"0";"2";"1";"0";"2";"0";"2";"1";"0";"0"
"France";"6";"1304";"Thomas Vernoux";"5";"7";"3";"4";"0";"0";"1";"2";"1";"1";"0";"0";"1";"4";"1";"1";"2";"0";"0";"0";"0"
"France";"7";"1310";"Charles Canonne";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"France";"8";"600";"Emil Bjorch";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"France";"9";"1309";"Mehdi Marzouki";"1";"2";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"2";"0";"2";"0";"2";"1";"2";"0"
"France";"10";"1362";"Michael Bodegas";"1";"3";"0";"1";"0";"0";"0";"0";"0";"0";"1";"2";"1";"4";"1";"0";"0";"2";"0";"2";"0"
"France";"11";"1311";"Pierre-Frederic Vanpeperstraete";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"2";"1";"0";"0"
"France";"12";"13789";"Enzo Nardon";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0"
"France";"13";"1313";"Hugo Fontani";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"10"
"Netherlands";"1";"12480";"Ted Huijsmans";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"Netherlands";"2";"12478";"Bilal Gbadamassi";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"5";"1";"0";"0";"1";"1";"1";"0"
"Netherlands";"3";"19207";"Jeroen Rouwenhorst";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"1";"0";"0";"0";"0";"0"
"Netherlands";"4";"12481";"Flemming Kastrop";"0";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"2";"0";"0";"2";"0";"0";"0"
"Netherlands";"5";"1383";"Guus van Ijperen";"1";"4";"0";"1";"0";"0";"1";"3";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0"
"Netherlands";"6";"19208";"Tim de Mey";"1";"4";"0";"1";"0";"0";"1";"3";"0";"0";"0";"0";"0";"2";"1";"0";"0";"1";"0";"0";"0"
"Netherlands";"7";"12482";"Kas Te Riele";"2";"4";"0";"1";"0";"0";"1";"1";"1";"1";"0";"1";"1";"1";"0";"0";"0";"4";"0";"0";"0"
"Netherlands";"8";"1386";"Jesse Nispeling";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"2";"1";"0";"0"
"Netherlands";"9";"12489";"Jorn Muller";"3";"4";"0";"0";"0";"0";"2";"3";"0";"0";"1";"1";"0";"0";"1";"0";"2";"2";"0";"0";"0"
"Netherlands";"10";"1382";"Sam van den Burg";"0";"4";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0"
"Netherlands";"11";"1389";"Jesse Koopman";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"3";"3";"0";"0";"0";"1";"3";"0";"0"
"Netherlands";"12";"13688";"Mart van der Weijden";"2";"5";"1";"4";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"2";"0";"0";"0";"2";"0"
"Netherlands";"13";"18080";"Joran Westerveld";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"4"
