"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Georgia";"1";"1261";"Irakli Razmadze";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"7"
"Georgia";"2";"2369";"Besarion Akhvlediani";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"1";"1";"0";"0";"1";"0"
"Georgia";"3";"1483";"Valiko Dadvani";"2";"3";"1";"2";"0";"0";"1";"1";"0";"0";"0";"0";"1";"1";"3";"0";"0";"3";"0";"0";"0"
"Georgia";"4";"1484";"Nika Shushiashvili";"1";"5";"0";"4";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"1";"1";"1";"0";"0"
"Georgia";"5";"1253";"Andria Bitadze";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"1";"0";"0";"0";"0";"1";"0"
"Georgia";"6";"2455";"Saba Tkeshelashvili";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"2";"1";"0";"0"
"Georgia";"7";"1255";"Khvicha Jakhaia";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"1";"0";"0"
"Georgia";"8";"947";"Artsiom Dzikhtsiarenka";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0"
"Georgia";"9";"1252";"Revaz Imnaishvili";"2";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"2";"0";"0"
"Georgia";"10";"1258";"Giorgi Magrakvelidze";"1";"3";"0";"1";"1";"2";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"1";"1";"0";"0"
"Georgia";"11";"715";"Dusan Vasic";"5";"5";"2";"2";"0";"0";"1";"1";"1";"1";"1";"1";"4";"1";"3";"0";"0";"0";"1";"0";"0"
"Georgia";"12";"1377";"Stefan Pjesivac";"2";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"1";"1";"0"
"Georgia";"13";"888";"Beka Kapanadze";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Germany";"1";"2454";"Felix Benke";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"8"
"Germany";"2";"4997";"Zoran Bozic";"3";"8";"1";"5";"0";"1";"0";"0";"2";"2";"0";"0";"0";"2";"0";"0";"0";"3";"0";"0";"0"
"Germany";"3";"967";"Ferdinand Korbel";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0"
"Germany";"4";"2218";"Mark Dyck";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"2";"0";"0"
"Germany";"5";"1318";"Fynn Schutze";"2";"5";"1";"3";"0";"0";"1";"2";"0";"0";"0";"0";"2";"0";"2";"1";"0";"0";"2";"0";"0"
"Germany";"6";"11491";"Philipp Dolff";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Germany";"7";"1320";"Denis Strelezkij";"4";"11";"1";"4";"0";"1";"3";"4";"0";"1";"0";"1";"2";"2";"3";"1";"0";"2";"3";"0";"0"
"Germany";"8";"1481";"Yannek Chiru";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"1";"0";"2";"0";"3";"0";"0"
"Germany";"9";"1475";"Aleks Sekulic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0"
"Germany";"10";"881";"Sascha Seifert";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Germany";"11";"12169";"Niclas Schipper";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"6";"1";"1";"0";"2";"0";"0";"0"
"Germany";"12";"4576";"Finn Taubert";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0"
"Germany";"13";"877";"Max Vernet Schweimer";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
