"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Hungary";"1";"1470";"Mark Banyai";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2"
"Hungary";"2";"13744";"David Tatrai";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0"
"Hungary";"3";"13745";"Vince Varga";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0"
"Hungary";"4";"1346";"Zoltan Pohl";"0";"3";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"1";"0";"2";"1";"0";"0"
"Hungary";"5";"4837";"Vince Vigvari";"3";"7";"3";"3";"0";"0";"0";"4";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"1";"1";"0"
"Hungary";"6";"817";"Adam Nagy";"3";"8";"1";"4";"0";"2";"2";"2";"0";"0";"0";"0";"3";"0";"3";"1";"0";"2";"1";"0";"0"
"Hungary";"7";"2367";"Gergo Fekete";"2";"5";"0";"3";"0";"0";"2";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Hungary";"8";"374";"Gergely Burian";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";"2";"0";"0"
"Hungary";"9";"17523";"Peter Kovacs";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"0";"0";"1";"0";"1";"0"
"Hungary";"10";"2368";"Vendel Vigvari";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"2";"0";"0";"0"
"Hungary";"11";"823";"Zsombor Vismeg";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"0";"0"
"Hungary";"12";"1351";"Balazs Harai";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"0";"0";"0";"2";"0";"0";"0"
"Hungary";"13";"15241";"Viktor Gyapjas";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7"
"Croatia";"1";"484";"Marko Bijac";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8"
"Croatia";"2";"60";"Rino Buric";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"1";"0";"1";"2";"0";"0"
"Croatia";"3";"77";"Loren Fatovic";"2";"6";"1";"4";"1";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Croatia";"4";"71";"Luka Loncar";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"2";"1";"2";"0";"1";"1";"0";"0"
"Croatia";"5";"7";"Matias Biljaka";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3";"0";"0";"0"
"Croatia";"6";"4";"Luka Bukic";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"2";"1";"0";"2";"0";"0"
"Croatia";"7";"1064";"Ante Vukicevic";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0"
"Croatia";"8";"81";"Marko Zuvela";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"3";"1";"0";"0"
"Croatia";"9";"917";"Jerko Marinic Kragic";"3";"4";"0";"0";"0";"0";"1";"2";"2";"2";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0"
"Croatia";"10";"1";"Josip Vrlic";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"4";"0";"1";"0";"0";"0";"0";"0"
"Croatia";"11";"65";"Zvonimir Butic";"1";"2";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"1";"2";"1";"0";"0";"1";"1";"0";"0"
"Croatia";"12";"1410";"Konstantin Kharkov";"1";"5";"0";"3";"0";"0";"1";"2";"0";"0";"0";"0";"1";"0";"2";"0";"1";"0";"1";"0";"0"
"Croatia";"13";"75";"Toni Popadic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
