"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Israel";"1";"12441";"Yahav Fire";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"1";"0";"0";"0";"9"
"Israel";"2";"12452";"Or Schlein";"3";"5";"3";"5";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"3";"1";"0";"1";"0";"1";"0"
"Israel";"3";"12444";"Ronen Gros";"2";"6";"0";"3";"1";"1";"1";"2";"0";"0";"0";"0";"1";"1";"0";"0";"3";"0";"0";"0";"0"
"Israel";"4";"12448";"Yuval Klarfeld";"1";"4";"1";"3";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"2";"0";"0"
"Israel";"5";"19255";"Vlad Begin";"3";"3";"2";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"4";"1";"0";"0";"2";"1";"2";"0"
"Israel";"6";"19258";"Itai Roth";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0"
"Israel";"7";"19257";"Kay Halevy";"0";"4";"0";"3";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0"
"Israel";"8";"12443";"Ido Goldschmidt";"4";"10";"3";"9";"0";"0";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0";"0";"1";"3";"0";"0"
"Israel";"9";"12450";"Dor Koter";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0"
"Israel";"10";"12451";"Yoav Rendler";"2";"5";"1";"3";"1";"2";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"1";"0";"0";"0";"0"
"Israel";"11";"19256";"Elai Ben Gal Chalutz";"1";"3";"0";"1";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Israel";"12";"12442";"Tal Fotin";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Israel";"13";"12453";"Maxim Smirnov";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Malta";"1";"12461";"Jake Tanti";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"8"
"Malta";"2";"13723";"Gianni Farrugia";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0";"1";"1";"0";"0"
"Malta";"3";"12458";"Liam Galea";"2";"4";"2";"3";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0"
"Malta";"4";"13732";"Mark Castillo";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"1";"0";"0"
"Malta";"5";"13734";"Jake Cachia";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0"
"Malta";"6";"13721";"Jake Bonavia";"2";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"Malta";"7";"2125";"Jake Muscat";"8";"14";"4";"7";"0";"1";"1";"3";"2";"2";"1";"1";"0";"1";"4";"3";"0";"2";"0";"2";"0"
"Malta";"8";"13731";"Jayden Cutajar";"3";"4";"2";"2";"0";"0";"1";"1";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"1";"0";"0"
"Malta";"9";"1431";"Jeremy Abela";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"3";"0";"0"
"Malta";"10";"12463";"Nikolai Zammit";"1";"3";"1";"1";"0";"1";"0";"0";"0";"0";"0";"1";"2";"0";"1";"1";"0";"1";"0";"0";"0"
"Malta";"11";"1427";"Darren Zammit";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Malta";"12";"19210";"Matthias Azzopardi";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Malta";"13";"19209";"Benjamin Busuttil";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
