"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Romania";"1";"1392";"Marius-Florin Tic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10"
"Romania";"2";"16647";"David Belenyesi";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Romania";"3";"2066";"Matei - Ioan Lutescu";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"1";"0"
"Romania";"4";"1399";"Tudor-Andrei Fulea";"2";"6";"0";"1";"0";"2";"1";"1";"1";"1";"0";"1";"0";"2";"1";"1";"1";"0";"1";"0";"0"
"Romania";"5";"1396";"Victor-Andrei Antipa";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
"Romania";"6";"1397";"Andrei Prioteasa";"2";"5";"1";"2";"0";"0";"1";"3";"0";"0";"0";"0";"2";"3";"1";"0";"1";"2";"1";"0";"0"
"Romania";"7";"2070";"David-Joan Bota";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0"
"Romania";"8";"12434";"Andrei-Radu-Ionut Neamtu";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"1";"0"
"Romania";"9";"126";"Silvian Colodrovschi";"2";"3";"1";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"2";"1";"0";"0"
"Romania";"10";"1398";"Vlad-Luca Georgescu";"3";"8";"1";"4";"0";"0";"0";"2";"1";"1";"1";"1";"3";"1";"1";"0";"0";"1";"1";"1";"0"
"Romania";"11";"779";"Francesco Iudean";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"3";"0";"0";"0"
"Romania";"12";"1403";"Levente Vancsik";"2";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"1";"0";"0";"0";"0";"1";"0"
"Romania";"13";"769";"Eduar-Mihai Dragusin";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Montenegro";"1";"1366";"Dejan Lazovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Montenegro";"2";"1367";"Drasko Brguljan";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"1";"0";"1";"2";"1";"0";"0"
"Montenegro";"3";"2155";"Miroslav Perkovic";"3";"4";"2";"2";"0";"0";"1";"2";"0";"0";"0";"0";"0";"4";"0";"0";"0";"1";"2";"1";"0"
"Montenegro";"4";"94";"Kanstantin Averka";"2";"4";"1";"2";"0";"0";"1";"1";"0";"0";"0";"1";"1";"0";"1";"1";"1";"0";"1";"0";"0"
"Montenegro";"5";"2147";"Aljosa Macic";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Montenegro";"6";"93";"Vlado Popadic";"2";"4";"0";"1";"0";"0";"1";"2";"1";"1";"0";"0";"2";"2";"0";"1";"0";"2";"0";"0";"0"
"Montenegro";"7";"1372";"Stefan Vidovic";"2";"3";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"2";"0";"0"
"Montenegro";"8";"1368";"Djuro Radovic";"4";"6";"3";"5";"0";"0";"0";"0";"1";"1";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0"
"Montenegro";"9";"2189";"Marko Mrsic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"1";"0";"1";"0";"1";"0"
"Montenegro";"10";"109";"Jovan Vujovic";"0";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"5";"1";"0";"0";"1";"2";"0";"0"
"Montenegro";"11";"2133";"Dusan Matkovic";"2";"2";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"1";"0";"0";"2";"0";"0";"0"
"Montenegro";"12";"111";"Vasilije Radovic";"2";"3";"0";"0";"0";"0";"1";"2";"0";"0";"1";"1";"1";"2";"0";"0";"0";"1";"0";"0";"0"
"Montenegro";"13";"1378";"Petar Tesanovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"8"
