"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Serbia";"1";"718";"Radoslav Filipovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"11"
"Serbia";"2";"496";"Dusan Mandic";"3";"7";"1";"2";"0";"3";"1";"1";"1";"1";"0";"0";"0";"3";"0";"1";"0";"0";"1";"1";"0"
"Serbia";"3";"733";"Strahinja Rasovic";"1";"6";"0";"2";"0";"0";"0";"3";"0";"0";"1";"1";"2";"1";"1";"0";"1";"1";"3";"0";"0"
"Serbia";"4";"381";"Sava Randjelovic";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"1";"0"
"Serbia";"5";"440";"Djordje Lazic";"2";"3";"1";"1";"0";"0";"1";"2";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0"
"Serbia";"6";"723";"Marko Radulovic";"2";"2";"0";"0";"0";"0";"1";"1";"0";"0";"1";"1";"0";"1";"1";"1";"0";"1";"2";"1";"0"
"Serbia";"7";"438";"Radomir Drasovic";"0";"2";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0"
"Serbia";"8";"464";"Nikola Jaksic";"0";"4";"0";"2";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"5";"0";"0";"2";"1";"0";"0"
"Serbia";"9";"1027";"Vuk Milojevic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"3";"0";"0";"0"
"Serbia";"10";"380";"Nemanja Ubovic";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"2";"5";"0";"1";"0";"0";"0";"1";"0"
"Serbia";"11";"696";"Nikola Lukic";"1";"3";"0";"0";"0";"0";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Serbia";"12";"439";"Viktor Rasovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"1";"0"
"Serbia";"13";"378";"Branislav Mitrovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greece";"1";"1327";"Emmanouil Zerdevas";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"12"
"Greece";"2";"1328";"Konstantinos Genidounias";"3";"6";"1";"4";"0";"0";"1";"1";"0";"0";"1";"1";"3";"1";"1";"1";"1";"1";"1";"0";"0"
"Greece";"3";"1329";"Dimitrios Skoumpakis";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"1";"0";"0"
"Greece";"4";"862";"Konstantinos Gkiouvetsis";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"2";"0";"0";"0"
"Greece";"5";"1331";"Ioannis Fountoulis";"3";"6";"0";"2";"0";"0";"1";"2";"2";"2";"0";"0";"1";"1";"0";"0";"0";"1";"1";"1";"0"
"Greece";"6";"1332";"Alexandros Papanastasiou";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"2";"2";"2";"1";"0"
"Greece";"7";"1333";"Georgios Dervisis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Greece";"8";"1334";"Stylianos Argyropoulos";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"2";"1";"0";"1";"2";"1";"0"
"Greece";"9";"11477";"Ioannis Alafragkis";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Greece";"10";"177";"Konstantinos Kakaris";"2";"2";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"6";"0";"0";"0";"1";"0";"2";"0"
"Greece";"11";"128";"Dimitrios Nikolaidis";"1";"2";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"3";"0"
"Greece";"12";"1338";"Angelos Vlachopoulos";"1";"3";"0";"1";"0";"0";"1";"2";"0";"0";"0";"0";"1";"0";"2";"1";"0";"1";"1";"0";"0"
"Greece";"13";"963";"Panagiotis Tzortzatos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
