"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Slovakia";"1";"1276";"Tomas Hoferica";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"6"
"Slovakia";"2";"12487";"Robert Kaid";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0"
"Slovakia";"3";"4983";"Patrik Tisaj";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0"
"Slovakia";"4";"13668";"Milan Matejka";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Slovakia";"5";"4972";"Dani Baco";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0"
"Slovakia";"6";"1284";"Tomas Bielik";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"2";"0";"0";"0"
"Slovakia";"7";"1282";"Maros Tkac";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"4";"0";"1";"1";"0";"0"
"Slovakia";"8";"1283";"Marek Tkac";"2";"6";"2";"5";"0";"0";"0";"1";"0";"0";"0";"0";"4";"1";"0";"2";"0";"2";"1";"0";"0"
"Slovakia";"9";"1279";"Adam Furman";"1";"4";"1";"2";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"1";"1";"0";"2";"1";"0";"0"
"Slovakia";"10";"4978";"Marco Mihal";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Slovakia";"11";"8280";"Matej Caraj";"2";"4";"0";"2";"0";"0";"2";"2";"0";"0";"0";"0";"1";"8";"2";"2";"0";"0";"0";"0";"0"
"Slovakia";"12";"1287";"Samuel Balaz";"5";"6";"2";"2";"0";"1";"1";"1";"2";"2";"0";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0"
"Slovakia";"13";"19259";"Filip Balogh";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Slovenia";"1";"12459";"Jure Beton";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6"
"Slovenia";"2";"12470";"Benjamin Popovic";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Slovenia";"3";"12466";"Jasa Kadivec";"2";"5";"0";"0";"1";"2";"1";"3";"0";"0";"0";"0";"2";"2";"0";"0";"0";"2";"4";"0";"0"
"Slovenia";"4";"4871";"Matija Bernard Canc";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"1";"1";"1";"0"
"Slovenia";"5";"12467";"Jasa Lah";"3";"6";"1";"4";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"3";"1";"0";"0";"0"
"Slovenia";"6";"12473";"Vukasin Stefanovic";"0";"4";"0";"1";"0";"0";"0";"3";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0"
"Slovenia";"7";"8442";"Andraz Pusavec";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"2";"1";"0";"0"
"Slovenia";"8";"12469";"Aleksander Paunovic";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Slovenia";"9";"14052";"Jurij Seljak";"1";"4";"0";"3";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0"
"Slovenia";"10";"14080";"Miha Santak";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"1";"0";"0"
"Slovenia";"11";"12475";"Aljaz Troppan";"3";"4";"2";"3";"0";"0";"1";"1";"0";"0";"0";"0";"0";"6";"1";"0";"0";"0";"2";"1";"0"
"Slovenia";"12";"12464";"Aleksander Cerar";"0";"3";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0"
"Slovenia";"13";"12476";"Gasper Zurbi";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
