"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Greece";"1";"1327";"Emmanouil Zerdevas";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"7"
"Greece";"2";"1328";"Konstantinos Genidounias";"4";"5";"1";"2";"0";"0";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"0";"1";"3";"0";"0"
"Greece";"3";"1329";"Dimitrios Skoumpakis";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"1";"2";"0";"0";"3";"0";"0";"0"
"Greece";"4";"867";"Efstathios Kalogeropoulos";"2";"3";"1";"2";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"2";"0";"1";"0";"1";"0";"0"
"Greece";"5";"1331";"Ioannis Fountoulis";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"2";"0";"1";"3";"1";"0"
"Greece";"6";"1332";"Alexandros Papanastasiou";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"1";"0";"1";"1";"0";"0"
"Greece";"7";"1333";"Georgios Dervisis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Greece";"8";"1334";"Stylianos Argyropoulos";"2";"4";"2";"2";"0";"0";"0";"1";"0";"1";"0";"0";"2";"1";"0";"1";"0";"2";"1";"0";"0"
"Greece";"9";"11477";"Ioannis Alafragkis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0";"2";"0";"0";"0"
"Greece";"10";"177";"Konstantinos Kakaris";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"4";"0";"2";"0";"1";"0";"0";"0"
"Greece";"11";"128";"Dimitrios Nikolaidis";"2";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0"
"Greece";"12";"4822";"Nikolaos Gkillas";"3";"4";"2";"2";"0";"1";"0";"0";"0";"0";"1";"1";"1";"0";"0";"1";"0";"1";"1";"0";"0"
"Greece";"13";"963";"Panagiotis Tzortzatos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Montenegro";"1";"1366";"Dejan Lazovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Montenegro";"2";"1367";"Drasko Brguljan";"1";"4";"1";"3";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"1";"0";"0"
"Montenegro";"3";"2155";"Miroslav Perkovic";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"8";"0";"0";"0";"2";"0";"2";"0"
"Montenegro";"4";"94";"Kanstantin Averka";"2";"3";"0";"0";"0";"0";"2";"2";"0";"0";"0";"1";"2";"0";"0";"0";"3";"0";"1";"1";"0"
"Montenegro";"5";"2147";"Aljosa Macic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0"
"Montenegro";"6";"93";"Vlado Popadic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0"
"Montenegro";"7";"2189";"Marko Mrsic";"2";"5";"0";"1";"0";"1";"2";"2";"0";"1";"0";"0";"2";"1";"0";"0";"0";"1";"0";"0";"0"
"Montenegro";"8";"1368";"Djuro Radovic";"1";"4";"0";"1";"0";"1";"1";"2";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"2";"0";"0"
"Montenegro";"9";"375";"Aleksa Ukropina";"2";"9";"0";"7";"0";"0";"0";"0";"2";"2";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0"
"Montenegro";"10";"109";"Jovan Vujovic";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"3";"0";"1";"0";"1";"1";"1";"0"
"Montenegro";"11";"2133";"Dusan Matkovic";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"2";"0";"0";"0"
"Montenegro";"12";"111";"Vasilije Radovic";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"2";"1";"0";"2";"2";"0";"0"
"Montenegro";"13";"1378";"Petar Tesanovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6"
