"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Netherlands";"1";"12480";"Ted Huijsmans";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Netherlands";"2";"12478";"Bilal Gbadamassi";"1";"3";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"1";"3";"1";"0";"0";"1";"1";"1";"0"
"Netherlands";"3";"19207";"Jeroen Rouwenhorst";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"4";"0";"0";"0";"1";"0";"0";"0"
"Netherlands";"4";"12481";"Flemming Kastrop";"1";"2";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"1";"1";"0";"0";"2";"0";"0";"0"
"Netherlands";"5";"1383";"Guus van Ijperen";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0";"0";"1";"0";"2";"0"
"Netherlands";"6";"19208";"Tim de Mey";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"1";"1";"0";"0";"2";"0";"0";"0"
"Netherlands";"7";"13688";"Mart van der Weijden";"4";"5";"2";"3";"0";"0";"2";"2";"0";"0";"0";"0";"2";"0";"1";"0";"1";"1";"0";"0";"0"
"Netherlands";"8";"1386";"Jesse Nispeling";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"0";"0"
"Netherlands";"9";"1382";"Sam van den Burg";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"1";"0";"0"
"Netherlands";"10";"12477";"Tom de Weerd";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"1";"0"
"Netherlands";"11";"1389";"Jesse Koopman";"4";"6";"1";"3";"0";"0";"3";"3";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0"
"Netherlands";"12";"13674";"Lars ten Broek";"3";"7";"1";"4";"0";"0";"1";"2";"1";"1";"0";"0";"4";"1";"1";"2";"0";"2";"0";"0";"0"
"Netherlands";"13";"18080";"Joran Westerveld";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"4"
"Germany";"1";"2454";"Felix Benke";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3"
"Germany";"2";"4576";"Finn Taubert";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Germany";"3";"967";"Ferdinand Korbel";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"1";"0";"0";"1";"1";"1";"0"
"Germany";"4";"2218";"Mark Dyck";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Germany";"5";"1318";"Fynn Schutze";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Germany";"6";"881";"Sascha Seifert";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0"
"Germany";"7";"1320";"Denis Strelezkij";"2";"8";"1";"4";"0";"0";"1";"4";"0";"0";"0";"0";"2";"3";"0";"0";"0";"0";"3";"0";"0"
"Germany";"8";"1481";"Yannek Chiru";"5";"9";"1";"3";"0";"0";"3";"5";"1";"1";"0";"0";"1";"0";"0";"0";"2";"2";"3";"1";"0"
"Germany";"9";"1475";"Aleks Sekulic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
"Germany";"10";"12168";"Lukas Kuppers";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0"
"Germany";"11";"12169";"Niclas Schipper";"2";"2";"0";"0";"0";"0";"1";"1";"0";"0";"1";"1";"0";"2";"0";"0";"0";"0";"1";"1";"0"
"Germany";"12";"5001";"Mark Gansen";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0"
"Germany";"13";"877";"Max Vernet Schweimer";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
