"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Serbia";"1";"718";"Radoslav Filipovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6"
"Serbia";"2";"496";"Dusan Mandic";"4";"4";"1";"1";"0";"0";"2";"2";"1";"1";"0";"0";"1";"0";"1";"1";"0";"0";"1";"0";"0"
"Serbia";"3";"733";"Strahinja Rasovic";"3";"6";"0";"2";"0";"0";"1";"1";"0";"0";"2";"3";"2";"1";"2";"0";"1";"0";"2";"0";"0"
"Serbia";"4";"381";"Sava Randjelovic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"2";"0";"1";"0";"0";"0"
"Serbia";"5";"440";"Djordje Lazic";"4";"4";"1";"1";"0";"0";"3";"3";"0";"0";"0";"0";"0";"2";"0";"1";"0";"1";"3";"0";"0"
"Serbia";"8";"464";"Nikola Jaksic";"1";"3";"0";"1";"0";"0";"1";"2";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0"
"Serbia";"6";"723";"Marko Radulovic";"2";"4";"1";"2";"0";"0";"1";"2";"0";"0";"0";"0";"3";"1";"3";"1";"0";"0";"0";"0";"0"
"Serbia";"7";"438";"Radomir Drasovic";"2";"2";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0"
"Serbia";"9";"1422";"Nemanja Vico";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"7";"0";"0";"0";"0";"0";"0";"0"
"Serbia";"12";"439";"Viktor Rasovic";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"2";"0";"0";"0";"1";"0";"0"
"Serbia";"10";"1059";"Petar Jaksic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"1";"0";"1";"0";"0";"0"
"Serbia";"11";"696";"Nikola Lukic";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0"
"Serbia";"13";"378";"Branislav Mitrovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Romania";"1";"1392";"Marius-Florin Tic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5"
"Romania";"2";"16647";"David Belenyesi";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"2";"0";"0"
"Romania";"3";"2066";"Matei - Ioan Lutescu";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Romania";"4";"1399";"Tudor-Andrei Fulea";"0";"3";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"1";"1";"0";"0";"3";"0";"0"
"Romania";"5";"12437";"Ionut-Valentin Vranceanu";"2";"4";"1";"3";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"0";"0"
"Romania";"6";"1397";"Andrei Prioteasa";"0";"2";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"2";"0";"0"
"Romania";"7";"13709";"Andrei Tepelus";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Romania";"8";"12434";"Andrei-Radu-Ionut Neamtu";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"1";"0";"0"
"Romania";"9";"126";"Silvian Colodrovschi";"1";"4";"1";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0"
"Romania";"10";"12432";"Vlad-Gabriel Dragomirescu";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"2";"0";"0"
"Romania";"11";"779";"Francesco Iudean";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"1";"0";"0"
"Romania";"12";"1403";"Levente Vancsik";"1";"3";"1";"2";"0";"1";"0";"0";"0";"0";"0";"0";"1";"3";"0";"0";"0";"0";"3";"0";"0"
"Romania";"13";"769";"Eduar-Mihai Dragusin";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
