"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Greece";"4";"1131";"Nicoleta Eleftheriadou";"1";"3";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"1";"0";"0";"0"
"Greece";"13";"1140";"Ioanna Stamatopoulou";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7"
"Greece";"2";"1129";"Christina Tsoukala";"2";"2";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0"
"Greece";"6";"1133";"Alkisti Avramidou";"3";"3";"2";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"2";"0";"1";"2";"0";"0";"0"
"Greece";"3";"1130";"Vasiliki Diamantopoulou";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0"
"Greece";"1";"1128";"Chrysoula Diamantopoulou";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3"
"Greece";"11";"1138";"Eleftheria Plevritou";"5";"7";"3";"5";"0";"0";"0";"0";"0";"0";"2";"2";"3";"0";"1";"1";"2";"1";"1";"0";"0"
"Greece";"5";"1132";"Margarita Plevritou";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Greece";"7";"1245";"Maria Myriokefalitaki";"7";"8";"5";"6";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0"
"Greece";"12";"1139";"Eleni Xenaki";"4";"5";"2";"3";"0";"0";"1";"1";"0";"0";"1";"1";"1";"5";"1";"0";"0";"1";"1";"4";"0"
"Greece";"9";"1247";"Christina Kotsia";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0"
"Greece";"8";"1246";"Alkistis Christina Benekou";"1";"3";"0";"2";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"1";"0";"2";"0";"1";"0"
"Greece";"10";"1248";"Eirini Ninou";"2";"3";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"NT Serbia";"3";"1195";"Jovana Pantovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"3";"0"
"NT Serbia";"2";"1198";"Katarina Cegar";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"NT Serbia";"1";"1193";"Vanja Lazic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"NT Serbia";"6";"1203";"Anja Miskovic";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0"
"NT Serbia";"5";"1204";"Nina Josifovic";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"NT Serbia";"7";"1202";"Mila Gluscevic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"NT Serbia";"8";"1196";"Nada Mandic";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"1";"4";"0"
"NT Serbia";"4";"1200";"Teodora Rudic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0"
"NT Serbia";"9";"1201";"Hristina Ilic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"NT Serbia";"10";"1199";"Jelena Vukovic";"3";"9";"1";"5";"0";"0";"1";"3";"1";"1";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0"
"NT Serbia";"12";"1197";"Tijana Jakovljevic";"1";"4";"1";"3";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"2";"0";"0"
"NT Serbia";"11";"1205";"Ana Milicevic";"1";"3";"0";"1";"0";"0";"1";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"1";"0"
"NT Serbia";"13";"1194";"Nikolina Travar";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"7"
"Greece";"1000";"1135";"Ioanna Chydirioti";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greece";"2000";"1136";"Maria Patra";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
