"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Germany";"1";"1167";"Felicitas Guse";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4"
"Netherlands";"9";"1233";"Maartje Keuning";"3";"4";"2";"3";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0"
"Germany";"6";"1172";"Gesa Deike";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"3";"0";"0"
"Germany";"13";"1179";"Ronja Kerssenboom";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"Netherlands";"8";"1122";"Vivian Sevenich";"4";"4";"3";"3";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Netherlands";"7";"1121";"Bente Rogge";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0"
"Germany";"12";"1178";"Lynn Krukenberg";"1";"3";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"4";"0";"0"
"Germany";"9";"1175";"Jennifer Stiefel";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0"
"Netherlands";"1";"1232";"Joanne Koenders";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"Netherlands";"2";"1116";"Maud Megens";"2";"5";"1";"3";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"1";"0";"0";"0";"1";"0";"0"
"Netherlands";"10";"1123";"Kitty-Lynn Joustra";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0"
"Germany";"8";"1174";"Aylin Fry";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Germany";"7";"1173";"Nicole Vunder";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"2";"0";"0"
"Netherlands";"3";"1117";"Dagmar Genee";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
"Germany";"4";"1170";"Sophia Eggert";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0"
"Netherlands";"13";"1127";"Debby Willemsz";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"4"
"Netherlands";"12";"1126";"Brigitte Sleeking";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"1";"0";"0";"0"
"Germany";"2";"1168";"Belen Vosseberg";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0"
"Netherlands";"11";"1234";"Simone van de Kraats";"5";"6";"2";"2";"0";"0";"3";"4";"0";"0";"0";"0";"0";"0";"4";"1";"0";"0";"1";"0";"0"
"Netherlands";"6";"1120";"Nomi Stomphorst";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
"Netherlands";"4";"1118";"Sabrina van der Sloot";"3";"3";"0";"0";"0";"0";"0";"0";"1";"1";"2";"2";"0";"0";"2";"0";"2";"0";"0";"0";"0"
"Germany";"11";"1241";"Pauline Pannasch";"2";"4";"1";"3";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Netherlands";"5";"1119";"Iris Wolves";"2";"4";"2";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"1";"1";"0"
"Germany";"10";"1240";"Fabienne Heerdt";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"Germany";"5";"1171";"Ira Deike";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"2";"0";"0"
"Germany";"3";"1169";"Maren Hinz";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"5";"0";"0"
