"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Israel";"2";"1220";"Noa Sasover";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Israel";"3";"1221";"Yahav Farkash";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0"
"Israel";"1";"1219";"Ayelet Peres";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9"
"Israel";"4";"1222";"Miriam Bogachenko";"3";"9";"2";"8";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0"
"France";"11";"1243";"Clemence Clerc";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"1";"0"
"France";"12";"1165";"Audrey Daule";"1";"5";"1";"4";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"4";"1";"1";"0";"0"
"France";"10";"1242";"Ema Vernoux";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"France";"7";"1237";"Juliette Dhalluin";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0"
"France";"8";"1238";"Camille Radosavljevic";"0";"3";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0"
"France";"9";"1162";"Yaëlle Deschampt";"1";"5";"1";"5";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"2";"0";"0";"1";"0";"0";"0"
"France";"1";"1235";"Csenge Gaal";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"France";"13";"1166";"Lorène Derenty";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"9"
"France";"4";"1236";"Camelia Bouloukbachi";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"France";"3";"1156";"Léa Bachelier";"2";"3";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0"
"Israel";"5";"1223";"Kerem Noy";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0"
"Israel";"7";"1225";"Shunit Strugo";"0";"5";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"2";"0";"0"
"Israel";"9";"1227";"Eden Tal";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Israel";"8";"1226";"Loir Ben David";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"2";"0";"0"
"Israel";"10";"1228";"Mackenzie Mone";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Israel";"6";"1224";"Hila Futorian";"1";"6";"1";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"2";"0";"1";"0";"0";"0"
"Israel";"13";"1231";"Inbar Geva";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Israel";"12";"1230";"May Regev";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"France";"2";"1155";"Estelle Millot";"4";"7";"3";"6";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Israel";"11";"1229";"Nofar Hochberg";"2";"5";"2";"5";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"2";"1";"0";"0"
"France";"5";"1158";"Louise Guillet";"1";"4";"1";"4";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"1";"0"
"France";"6";"1159";"Géraldine delete Mahieu";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"1";"0";"0";"3";"1";"0"
