"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Spain";"2";"1142";"Marta Bach";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0"
"Spain";"1";"1141";"Laura Ester";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Spain";"3";"1143";"Anni Espar";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"Spain";"5";"1145";"Roser Tarragó";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Spain";"4";"1144";"Bea Ortiz";"5";"7";"3";"4";"0";"0";"1";"1";"0";"0";"1";"2";"1";"0";"2";"1";"1";"0";"0";"0";"0"
"Spain";"6";"1146";"Irene González";"2";"4";"2";"4";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"1";"0";"0"
"Spain";"7";"1147";"Clara Espar";"4";"6";"4";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"Spain";"8";"1148";"Pili Pena";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Spain";"9";"1149";"Judith Forca";"4";"5";"1";"2";"0";"0";"1";"1";"1";"1";"1";"1";"0";"0";"1";"0";"1";"1";"0";"0";"0"
"Spain";"11";"1151";"Maica García";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Spain";"12";"1152";"Paula Leiton";"2";"5";"1";"4";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"4";"0";"0"
"Spain";"10";"1150";"Paula Crespí";"1";"6";"0";"5";"0";"0";"0";"0";"1";"1";"0";"0";"0";"2";"1";"0";"0";"0";"1";"1";"0"
"Israel";"2";"1220";"Noa Sasover";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Israel";"1";"1219";"Ayelet Peres";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5"
"Spain";"13";"1153";"Elena Sánchez";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"11"
"Israel";"3";"1221";"Yahav Farkash";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Israel";"4";"1222";"Miriam Bogachenko";"2";"6";"2";"5";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Israel";"5";"1223";"Kerem Noy";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0"
"Israel";"7";"1225";"Shunit Strugo";"0";"7";"0";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"0";"1";"2";"1";"0"
"Israel";"6";"1224";"Hila Futorian";"0";"7";"0";"5";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
"Israel";"8";"1226";"Loir Ben David";"0";"4";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"Israel";"11";"1229";"Nofar Hochberg";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0"
"Israel";"10";"1228";"Mackenzie Mone";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0"
"Israel";"9";"1227";"Eden Tal";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Israel";"12";"1230";"May Regev";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Israel";"13";"1231";"Inbar Geva";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1"
