"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Hungary";"1";"1065";"Edina Gangl";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Hungary";"3";"1079";"Zsuzsanna Mate";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Hungary";"9";"1073";"Dora Leimeter";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"1";"0";"0"
"Hungary";"2";"1066";"Dorottya Szilagyi";"1";"4";"1";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Hungary";"5";"1077";"Vanda Valyi";"1";"2";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"3";"0";"0";"0"
"Hungary";"7";"1071";"Anna Illés";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"2";"0";"0"
"Hungary";"6";"1067";"Rebecca Parkes";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Hungary";"4";"1068";"Greta Gurisatti";"0";"4";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"1";"0"
"Hungary";"13";"1080";"Orsolya Kasó Cseho-Kovacsne";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"4"
"Hungary";"8";"1072";"Rita Keszthelyi";"4";"9";"1";"5";"0";"0";"2";"3";"0";"0";"1";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0"
"ROC";"9";"1107";"Anna Timofeeva";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"2";"1";"0";"0"
"ROC";"2";"1100";"Maria Bersneva";"1";"2";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"3";"1";"0";"1";"0"
"ROC";"3";"1101";"Ekaterina Prokofyeva";"0";"6";"0";"5";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0"
"Hungary";"11";"1078";"Natasa Rybanska";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"2";"1";"0";"0"
"Hungary";"12";"1076";"Krisztina Garda";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0"
"ROC";"5";"1108";"Maria Borisova";"0";"4";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"3";"0";"0";"0"
"ROC";"1";"1114";"Anna Ustyukhina";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ROC";"7";"1105";"Alena Serzhantova";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"1";"0";"0"
"ROC";"10";"1109";"Evgenia Soboleva";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"ROC";"11";"1111";"Evgeniya Ivanova";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"ROC";"8";"1106";"Anastasia Simanovich";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0"
"ROC";"6";"1104";"Olga Gorbunova";"3";"7";"0";"3";"0";"0";"3";"4";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
"ROC";"4";"1102";"Elvina Karimova";"2";"2";"0";"0";"0";"0";"1";"1";"0";"0";"1";"1";"0";"1";"0";"0";"0";"2";"0";"2";"0"
"ROC";"12";"1110";"Anastasia Fedotova";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0"
"ROC";"13";"1113";"Anna Karnaukh";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"11"
"Hungary";"10";"1074";"Anikó Gyöngyösi";"1";"4";"1";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"3";"0";"0"
