"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Netherlands";"1";"1232";"Joanne Koenders";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Italy";"11";"1093";"Izabella Chiappini";"0";"4";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"Netherlands";"11";"1234";"Simone van de Kraats";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0"
"Italy";"13";"1239";"Fabiana Sparano";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Italy";"2";"1083";"Chiara Tabani";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Italy";"12";"1094";"Carla Carrega";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Netherlands";"8";"1122";"Vivian Sevenich";"0";"7";"0";"6";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0"
"Netherlands";"9";"1233";"Maartje Keuning";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Italy";"5";"1086";"Elisa Queirolo";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Italy";"4";"1085";"Silvia Avegno";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Netherlands";"4";"1118";"Sabrina van der Sloot";"0";"5";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"3";"0";"0";"0";"0"
"Italy";"7";"1088";"Claudia Marletta";"1";"5";"0";"2";"0";"0";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0"
"Italy";"10";"1092";"Valeria Palmieri";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"1";"2";"1";"0"
"Italy";"8";"1090";"Roberta Bianconi";"3";"4";"2";"2";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Italy";"6";"1087";"Rosaria Aiello";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0"
"Netherlands";"13";"1127";"Debby Willemsz";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"14"
"Italy";"9";"1091";"Giulia Emmolo";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Italy";"3";"1084";"Arianna Garibotti";"0";"7";"0";"6";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Netherlands";"3";"1117";"Dagmar Genee";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"1";"0"
"Netherlands";"7";"1121";"Bente Rogge";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"0";"0"
"Netherlands";"10";"1123";"Kitty-Lynn Joustra";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"1";"0"
"Netherlands";"12";"1126";"Brigitte Sleeking";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"2";"0";"1";"0"
"Italy";"1";"1082";"Giulia Gorlero";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8"
"Netherlands";"6";"1120";"Nomi Stomphorst";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0"
"Netherlands";"2";"1116";"Maud Megens";"5";"8";"3";"5";"0";"0";"0";"0";"1";"2";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Netherlands";"5";"1119";"Iris Wolves";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
