"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"NT Serbia";"5";"1204";"Nina Josifovic";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0"
"NT Serbia";"3";"1195";"Jovana Pantovic";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"NT Serbia";"1";"1193";"Vanja Lazic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"6"
"NT Serbia";"8";"1196";"Nada Mandic";"2";"4";"2";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"2";"0"
"NT Serbia";"6";"1203";"Anja Miskovic";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0"
"NT Serbia";"9";"1201";"Hristina Ilic";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0"
"NT Serbia";"4";"1200";"Teodora Rudic";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"NT Serbia";"7";"1202";"Mila Gluscevic";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Croatia";"12";"1182";"Julija Bozan";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"NT Serbia";"2";"1198";"Katarina Cegar";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0"
"Croatia";"10";"1189";"Ivana Butic";"2";"5";"1";"4";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Croatia";"4";"1188";"Emma Carevic";"1";"4";"0";"3";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"1";"1";"3";"1";"0";"0"
"Croatia";"6";"1186";"Matea Skelin";"2";"7";"1";"5";"0";"0";"1";"2";"0";"0";"0";"0";"0";"1";"1";"2";"0";"1";"2";"0";"0"
"Croatia";"13";"1181";"Natasha Jimenez Trojan";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"NT Serbia";"13";"1194";"Nikolina Travar";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"Croatia";"5";"1184";"Dina Lordan";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0"
"Croatia";"11";"1191";"Bruna Barisic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Croatia";"7";"1187";"Mia Topic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0"
"NT Serbia";"12";"1197";"Tijana Jakovljevic";"1";"6";"1";"5";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0"
"NT Serbia";"11";"1205";"Ana Milicevic";"2";"5";"1";"4";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0"
"NT Serbia";"10";"1199";"Jelena Vukovic";"0";"2";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Croatia";"2";"1185";"Emmi Miljkovic";"1";"3";"1";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3";"0";"2";"3";"1";"0";"1";"0"
"Croatia";"1";"1180";"Alexandra Ratkovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8"
"Croatia";"8";"1190";"Domina Butic";"1";"4";"0";"2";"0";"0";"1";"2";"0";"0";"0";"0";"0";"3";"0";"0";"0";"1";"0";"1";"0"
"Croatia";"3";"1192";"Ana Miroslavic";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"1";"0"
"Croatia";"9";"1183";"Petra Bukic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0"
