"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Italy";"1";"1082";"Giulia Gorlero";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10"
"Israel";"9";"1227";"Eden Tal";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Israel";"10";"1228";"Mackenzie Mone";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0"
"Israel";"8";"1226";"Loir Ben David";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0"
"Israel";"12";"1230";"May Regev";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"2";"0";"0"
"Israel";"7";"1225";"Shunit Strugo";"1";"7";"0";"5";"0";"0";"1";"2";"0";"0";"0";"0";"0";"3";"0";"0";"0";"1";"2";"3";"0"
"Israel";"11";"1229";"Nofar Hochberg";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"2";"1";"1";"0"
"Israel";"13";"1231";"Inbar Geva";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3"
"Italy";"6";"1087";"Rosaria Aiello";"3";"5";"1";"2";"0";"0";"2";"3";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"1";"0";"0"
"Italy";"3";"1084";"Arianna Garibotti";"3";"3";"2";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Italy";"7";"1088";"Claudia Marletta";"1";"3";"0";"1";"0";"0";"1";"2";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0"
"Italy";"11";"1093";"Izabella Chiappini";"0";"3";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2";"2";"1";"3";"0";"1";"0";"2";"0";"0"
"Italy";"10";"1092";"Valeria Palmieri";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"1";"2";"3";"0"
"Italy";"8";"1090";"Roberta Bianconi";"3";"5";"1";"3";"0";"0";"0";"0";"0";"0";"2";"2";"0";"2";"0";"0";"0";"2";"1";"0";"0"
"Italy";"2";"1083";"Chiara Tabani";"1";"2";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"1";"0";"0"
"Italy";"9";"1091";"Giulia Emmolo";"4";"6";"2";"4";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0";"2";"0";"0";"1";"1";"0";"0"
"Italy";"5";"1086";"Elisa Queirolo";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"1";"3";"0";"0";"2";"1";"0";"0"
"Israel";"3";"1221";"Yahav Farkash";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Italy";"13";"1239";"Fabiana Sparano";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Italy";"4";"1085";"Silvia Avegno";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"2";"3";"0";"0";"0"
"Israel";"5";"1223";"Kerem Noy";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"1";"0"
"Israel";"4";"1222";"Miriam Bogachenko";"0";"5";"0";"0";"0";"1";"0";"4";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"3";"1";"0"
"Israel";"2";"1220";"Noa Sasover";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"2";"1";"0"
"Italy";"12";"1094";"Carla Carrega";"1";"3";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"2";"0";"0";"0"
"Israel";"1";"1219";"Ayelet Peres";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8"
"Israel";"6";"1224";"Hila Futorian";"0";"3";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"2";"0";"0"
