"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Croatia";"2";"1185";"Emmi Miljkovic";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"ROC";"13";"1113";"Anna Karnaukh";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ROC";"2";"1100";"Maria Bersneva";"3";"3";"2";"2";"0";"0";"1";"1";"0";"0";"0";"0";"2";"1";"0";"1";"1";"1";"0";"0";"0"
"ROC";"6";"1104";"Olga Gorbunova";"5";"7";"3";"4";"0";"0";"0";"0";"0";"0";"2";"3";"1";"1";"2";"0";"0";"1";"0";"0";"0"
"ROC";"10";"1109";"Evgenia Soboleva";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"2";"0";"0";"0"
"ROC";"1";"1114";"Anna Ustyukhina";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7"
"ROC";"9";"1107";"Anna Timofeeva";"2";"3";"1";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"2";"0";"0"
"ROC";"8";"1106";"Anastasia Simanovich";"3";"3";"1";"1";"0";"0";"2";"2";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0"
"ROC";"11";"1111";"Evgeniya Ivanova";"2";"5";"2";"4";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ROC";"7";"1105";"Alena Serzhantova";"5";"6";"2";"3";"0";"0";"2";"2";"0";"0";"1";"1";"0";"1";"1";"1";"1";"0";"0";"0";"0"
"Croatia";"3";"1192";"Ana Miroslavic";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"ROC";"12";"1110";"Anastasia Fedotova";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"1";"1";"2";"0"
"Croatia";"5";"1184";"Dina Lordan";"1";"4";"0";"2";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0"
"Croatia";"4";"1188";"Emma Carevic";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3";"1";"0";"0";"2";"4";"0";"0"
"ROC";"3";"1101";"Ekaterina Prokofyeva";"5";"5";"1";"1";"0";"0";"0";"0";"0";"0";"4";"4";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"ROC";"4";"1102";"Elvina Karimova";"6";"6";"0";"0";"0";"0";"3";"3";"0";"0";"3";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"ROC";"5";"1108";"Maria Borisova";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"1";"0";"0";"0"
"Croatia";"6";"1186";"Matea Skelin";"0";"4";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0"
"Croatia";"1";"1180";"Alexandra Ratkovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"Croatia";"11";"1191";"Bruna Barisic";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Croatia";"8";"1190";"Domina Butic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0"
"Croatia";"7";"1187";"Mia Topic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"4";"2";"0"
"Croatia";"9";"1183";"Petra Bukic";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Croatia";"10";"1189";"Ivana Butic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Croatia";"12";"1182";"Julija Bozan";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Croatia";"13";"1181";"Natasha Jimenez Trojan";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"5"
