"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Slovakia";"2";"1206";"Beata Kovacikova";"3";"6";"1";"2";"0";"0";"1";"3";"0";"0";"1";"1";"0";"1";"1";"1";"0";"1";"0";"0";"0"
"NT Serbia";"5";"1204";"Nina Josifovic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0"
"NT Serbia";"2";"1198";"Katarina Cegar";"0";"4";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Slovakia";"9";"1214";"Miroslava Stankovianska";"1";"4";"1";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"4";"1";"0"
"NT Serbia";"1";"1193";"Vanja Lazic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4"
"Slovakia";"1";"1207";"Emoke Kissova";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Slovakia";"3";"1208";"Janka Kurucova";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0"
"Slovakia";"6";"1211";"Monika Sedlakova";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
"Slovakia";"4";"1209";"Lenka Garancovska";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Slovakia";"5";"1210";"Emma Junasova";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"1";"1";"0"
"Slovakia";"12";"1217";"Katarina Kissova";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0"
"NT Serbia";"6";"1203";"Anja Miskovic";"0";"4";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"NT Serbia";"10";"1199";"Jelena Vukovic";"0";"5";"0";"4";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"2";"2";"0";"0"
"NT Serbia";"8";"1196";"Nada Mandic";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"1";"1";"0"
"NT Serbia";"11";"1205";"Ana Milicevic";"0";"3";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"1";"1";"3";"0";"0"
"NT Serbia";"9";"1201";"Hristina Ilic";"2";"7";"0";"4";"0";"0";"2";"3";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0"
"NT Serbia";"12";"1197";"Tijana Jakovljevic";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"1";"0";"0"
"Slovakia";"7";"1212";"Natalia Peckova";"0";"5";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0"
"Slovakia";"8";"1213";"Tamara Kolarova";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"1";"3";"0";"0";"1";"0"
"NT Serbia";"13";"1194";"Nikolina Travar";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5"
"Slovakia";"13";"1218";"Kristina Horvathova";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"15"
"Slovakia";"10";"1215";"Ivana Majlathova";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
"Slovakia";"11";"1216";"Daniela Katlovska";"0";"4";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"2";"1";"0"
"NT Serbia";"7";"1202";"Mila Gluscevic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"NT Serbia";"3";"1195";"Jovana Pantovic";"0";"4";"0";"3";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0"
"NT Serbia";"4";"1200";"Teodora Rudic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
