"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Spain";"1";"1141";"Laura Ester";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"Netherlands";"10";"1123";"Kitty-Lynn Joustra";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"5";"0";"0";"0";"0";"0";"1";"0"
"Netherlands";"12";"1126";"Brigitte Sleeking";"1";"3";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0"
"Netherlands";"13";"1127";"Debby Willemsz";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"17"
"Netherlands";"9";"1233";"Maartje Keuning";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0"
"Spain";"7";"1147";"Clara Espar";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Netherlands";"11";"1234";"Simone van de Kraats";"1";"2";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0"
"Spain";"11";"1151";"Maica García";"2";"7";"1";"3";"0";"0";"1";"4";"0";"0";"0";"0";"0";"6";"2";"0";"0";"0";"3";"0";"0"
"Spain";"13";"1153";"Elena Sánchez";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Netherlands";"4";"1118";"Sabrina van der Sloot";"2";"4";"0";"2";"0";"0";"1";"1";"1";"1";"0";"0";"1";"0";"3";"0";"2";"2";"2";"0";"0"
"Spain";"6";"1146";"Irene González";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Spain";"3";"1143";"Anni Espar";"0";"6";"0";"4";"0";"0";"0";"2";"0";"0";"0";"0";"1";"1";"1";"0";"1";"2";"0";"0";"0"
"Spain";"10";"1150";"Paula Crespí";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Netherlands";"1";"1232";"Joanne Koenders";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Netherlands";"2";"1116";"Maud Megens";"3";"4";"0";"1";"1";"1";"0";"0";"1";"1";"1";"1";"1";"0";"0";"0";"0";"2";"0";"0";"0"
"Spain";"8";"1148";"Pili Pena";"1";"4";"0";"0";"0";"0";"0";"3";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0"
"Spain";"5";"1145";"Roser Tarragó";"1";"4";"1";"3";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"2";"0";"0";"0"
"Netherlands";"5";"1119";"Iris Wolves";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"3";"2";"0";"0"
"Spain";"4";"1144";"Bea Ortiz";"1";"7";"1";"5";"0";"0";"0";"2";"0";"0";"0";"0";"1";"1";"0";"1";"0";"1";"0";"0";"0"
"Netherlands";"6";"1120";"Nomi Stomphorst";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"1";"2";"0";"1";"0";"0";"0"
"Netherlands";"7";"1121";"Bente Rogge";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"3";"2";"0";"0"
"Netherlands";"3";"1117";"Dagmar Genee";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"3";"0";"0";"0"
"Spain";"2";"1142";"Marta Bach";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"Netherlands";"8";"1122";"Vivian Sevenich";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"2";"0";"1";"0"
"Spain";"9";"1149";"Judith Forca";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0"
"Spain";"12";"1152";"Paula Leiton";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"2";"0";"0";"2";"1";"0"
