"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"France";"1";"1235";"Csenge Gaal";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"France";"3";"1156";"Léa Bachelier";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"2";"2";"1";"0"
"France";"2";"1155";"Estelle Millot";"1";"5";"0";"3";"0";"0";"0";"1";"1";"1";"0";"0";"1";"0";"2";"1";"0";"1";"1";"0";"0"
"France";"4";"1236";"Camelia Bouloukbachi";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0"
"France";"5";"1158";"Louise Guillet";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"2";"1";"0"
"France";"6";"1159";"Géraldine delete Mahieu";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"3";"1";"4";"0"
"France";"7";"1237";"Juliette Dhalluin";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"1";"0";"0"
"France";"8";"1238";"Camille Radosavljevic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"0";"0"
"France";"9";"1162";"Yaëlle Deschampt";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"2";"0";"0"
"France";"10";"1242";"Ema Vernoux";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"France";"11";"1243";"Clemence Clerc";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0"
"France";"12";"1165";"Audrey Daule";"1";"4";"1";"3";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"2";"3";"1";"0";"0"
"France";"13";"1166";"Lorène Derenty";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"11"
"Italy";"1";"1082";"Giulia Gorlero";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6"
"Italy";"2";"1083";"Chiara Tabani";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"2";"1";"0";"2";"2";"0";"0"
"Italy";"3";"1084";"Arianna Garibotti";"3";"5";"1";"2";"0";"0";"1";"1";"1";"2";"0";"0";"2";"2";"0";"1";"0";"1";"0";"0";"0"
"Italy";"4";"1085";"Silvia Avegno";"2";"2";"0";"0";"0";"0";"2";"2";"0";"0";"0";"0";"1";"1";"0";"1";"1";"1";"0";"0";"0"
"Italy";"6";"1087";"Rosaria Aiello";"2";"4";"1";"2";"0";"0";"1";"2";"0";"0";"0";"0";"0";"3";"0";"0";"0";"1";"1";"0";"0"
"Italy";"7";"1088";"Claudia Marletta";"1";"3";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"1";"2";"0";"0";"0";"1";"1";"0";"0"
"Italy";"8";"1090";"Roberta Bianconi";"5";"7";"2";"3";"0";"0";"1";"2";"1";"1";"1";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0"
"Italy";"5";"1086";"Elisa Queirolo";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0"
"Italy";"9";"1091";"Giulia Emmolo";"2";"3";"0";"1";"0";"0";"2";"2";"0";"0";"0";"0";"3";"1";"0";"0";"0";"0";"0";"0";"0"
"Italy";"10";"1092";"Valeria Palmieri";"2";"3";"1";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"1";"0"
"Italy";"11";"1093";"Izabella Chiappini";"0";"4";"0";"2";"0";"0";"0";"2";"0";"0";"0";"0";"4";"4";"2";"0";"1";"1";"2";"0";"0"
"Italy";"12";"1094";"Carla Carrega";"0";"4";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0"
"Italy";"13";"1239";"Fabiana Sparano";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
