"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Israel";"12";"1230";"May Regev";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0"
"Israel";"11";"1229";"Nofar Hochberg";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"3";"0";"0";"2";"0";"0";"0"
"Germany";"2";"1168";"Belen Vosseberg";"1";"6";"1";"4";"0";"0";"0";"2";"0";"0";"0";"0";"0";"2";"2";"0";"0";"1";"1";"0";"0"
"Israel";"13";"1231";"Inbar Geva";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Germany";"1";"1167";"Felicitas Guse";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"4"
"Germany";"13";"1179";"Ronja Kerssenboom";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Israel";"10";"1228";"Mackenzie Mone";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"2";"1";"1";"0"
"Germany";"3";"1169";"Maren Hinz";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Israel";"4";"1222";"Miriam Bogachenko";"3";"4";"3";"4";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"1";"3";"0"
"Germany";"5";"1172";"Gesa Deike";"0";"3";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"1";"5";"0";"0";"0";"0";"3";"3";"0"
"Germany";"10";"1240";"Fabienne Heerdt";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Israel";"1";"1219";"Ayelet Peres";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8"
"Germany";"4";"1170";"Sophia Eggert";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"4";"2";"0"
"Germany";"6";"1171";"Ira Deike";"1";"4";"1";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Israel";"5";"1223";"Kerem Noy";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"1";"0";"0"
"Israel";"6";"1224";"Hila Futorian";"3";"3";"2";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
"Israel";"7";"1225";"Shunit Strugo";"4";"9";"3";"6";"0";"0";"0";"1";"1";"1";"0";"1";"3";"3";"1";"0";"0";"1";"5";"1";"0"
"Israel";"8";"1226";"Loir Ben David";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"1";"3";"2";"1";"0";"0"
"Germany";"7";"1173";"Nicole Vunder";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0"
"Israel";"3";"1221";"Yahav Farkash";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Germany";"11";"1241";"Pauline Pannasch";"1";"3";"1";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0"
"Israel";"2";"1220";"Noa Sasover";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Israel";"9";"1227";"Eden Tal";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Germany";"8";"1174";"Aylin Fry";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0"
"Germany";"9";"1175";"Jennifer Stiefel";"0";"3";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Germany";"12";"1178";"Lynn Krukenberg";"0";"3";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"1";"0";"0"
