"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"NT Serbia";"1";"1193";"Vanja Lazic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4"
"Hungary";"10";"1074";"Anikó Gyöngyösi";"2";"4";"2";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"2";"1";"0"
"Hungary";"13";"1080";"Orsolya Kasó Cseho-Kovacsne";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"6"
"Hungary";"12";"1076";"Krisztina Garda";"2";"3";"1";"2";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
"Hungary";"11";"1078";"Natasa Rybanska";"2";"4";"0";"1";"0";"0";"0";"0";"0";"0";"2";"3";"2";"1";"2";"0";"1";"0";"1";"0";"0"
"NT Serbia";"12";"1197";"Tijana Jakovljevic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"2";"1";"0"
"NT Serbia";"9";"1201";"Hristina Ilic";"0";"3";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0"
"Hungary";"2";"1066";"Dorottya Szilagyi";"5";"5";"1";"1";"0";"0";"3";"3";"0";"0";"1";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0"
"NT Serbia";"2";"1198";"Katarina Cegar";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"NT Serbia";"3";"1195";"Jovana Pantovic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"2";"2";"0"
"NT Serbia";"6";"1203";"Anja Miskovic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Hungary";"3";"1079";"Zsuzsanna Mate";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"1";"0";"0";"0"
"Hungary";"4";"1068";"Greta Gurisatti";"7";"9";"2";"4";"0";"0";"2";"2";"1";"1";"2";"2";"4";"1";"0";"0";"0";"0";"0";"0";"0"
"NT Serbia";"10";"1199";"Jelena Vukovic";"0";"7";"0";"4";"0";"0";"0";"3";"0";"0";"0";"0";"0";"1";"0";"1";"0";"2";"2";"0";"0"
"NT Serbia";"8";"1196";"Nada Mandic";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"1";"2";"0"
"Hungary";"5";"1077";"Vanda Valyi";"1";"2";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"3";"0";"0";"0";"2";"2";"0";"0";"0"
"NT Serbia";"5";"1204";"Nina Josifovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0"
"Hungary";"6";"1067";"Rebecca Parkes";"3";"4";"2";"3";"0";"0";"0";"0";"0";"0";"1";"1";"0";"3";"0";"0";"0";"1";"1";"0";"0"
"NT Serbia";"4";"1200";"Teodora Rudic";"0";"5";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Hungary";"1";"1065";"Edina Gangl";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"5"
"Hungary";"7";"1071";"Anna Illés";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0"
"Hungary";"8";"1072";"Rita Keszthelyi";"4";"5";"1";"2";"0";"0";"1";"1";"0";"0";"2";"2";"3";"1";"1";"0";"1";"0";"0";"0";"0"
"Hungary";"9";"1073";"Dora Leimeter";"1";"2";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"2";"1";"0";"0";"0";"2";"1";"0";"0"
"NT Serbia";"11";"1205";"Ana Milicevic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0"
"NT Serbia";"13";"1194";"Nikolina Travar";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"NT Serbia";"7";"1202";"Mila Gluscevic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
