"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Greece";"9";"1247";"Christina Kotsia";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0"
"Greece";"10";"1248";"Eirini Ninou";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0"
"Greece";"2";"1129";"Christina Tsoukala";"0";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"2";"0";"2";"2";"0";"1";"0";"0";"0"
"Greece";"3";"1130";"Vasiliki Diamantopoulou";"1";"3";"0";"1";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0"
"Greece";"11";"1138";"Eleftheria Plevritou";"1";"2";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"3";"0";"1";"0";"0";"0";"1";"0";"0"
"Greece";"4";"1131";"Nicoleta Eleftheriadou";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"2";"0";"0"
"Greece";"8";"1246";"Alkistis Christina Benekou";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greece";"7";"1245";"Maria Myriokefalitaki";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0"
"Greece";"5";"1132";"Margarita Plevritou";"4";"7";"1";"4";"0";"0";"3";"3";"0";"0";"0";"0";"0";"1";"0";"1";"0";"2";"1";"1";"0"
"Greece";"6";"1133";"Alkisti Avramidou";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"2";"0";"0"
"Greece";"13";"1140";"Ioanna Stamatopoulou";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greece";"12";"1139";"Eleni Xenaki";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8";"0";"0";"0";"2";"0";"2";"0"
"Greece";"1";"1244";"not Chrysoula Diamantopoulou";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6"
"Spain";"2";"1142";"Marta Bach";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Spain";"5";"1145";"Roser Tarragó";"0";"8";"0";"6";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"1";"0";"1";"2";"1";"0";"0"
"Spain";"11";"1151";"Maica García";"2";"3";"0";"1";"0";"0";"1";"1";"0";"0";"1";"1";"0";"2";"0";"1";"0";"0";"1";"1";"0"
"Spain";"3";"1143";"Anni Espar";"2";"4";"2";"4";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"1";"0";"2";"0";"0";"0";"0"
"Spain";"4";"1144";"Bea Ortiz";"4";"7";"3";"5";"0";"0";"1";"2";"0";"0";"0";"0";"4";"0";"1";"0";"0";"0";"2";"0";"0"
"Spain";"12";"1152";"Paula Leiton";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"2";"1";"0";"0";"1";"1";"0";"0"
"Spain";"7";"1147";"Clara Espar";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0"
"Spain";"9";"1149";"Judith Forca";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0"
"Spain";"13";"1153";"Elena Sánchez";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Spain";"6";"1146";"Irene González";"1";"2";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"2";"0";"0";"0"
"Spain";"10";"1150";"Paula Crespí";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Spain";"8";"1148";"Pili Pena";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"2";"0";"0";"1";"2";"1";"0"
"Spain";"1";"1141";"Laura Ester";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5"
