"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Hungary";"1";"1065";"Edina Gangl";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7"
"Hungary";"2";"1066";"Dorottya Szilagyi";"2";"3";"0";"0";"0";"0";"1";"2";"0";"0";"1";"1";"1";"0";"0";"0";"1";"1";"0";"0";"0"
"Hungary";"3";"1079";"Zsuzsanna Mate";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"1";"0";"0"
"Hungary";"4";"1068";"Greta Gurisatti";"1";"2";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";"0";"1";"2";"0";"0"
"Hungary";"5";"1077";"Vanda Valyi";"3";"5";"1";"3";"0";"0";"1";"1";"0";"0";"1";"1";"3";"0";"0";"1";"3";"0";"0";"0";"0"
"Hungary";"6";"1067";"Rebecca Parkes";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"2";"0";"0";"0"
"Hungary";"7";"1071";"Anna Illés";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"1";"3";"0";"2";"0";"1";"0";"0";"0"
"Hungary";"8";"1072";"Rita Keszthelyi";"4";"6";"3";"4";"0";"0";"0";"1";"0";"0";"1";"1";"2";"1";"2";"2";"0";"1";"0";"0";"0"
"Hungary";"9";"1073";"Dora Leimeter";"2";"5";"1";"3";"0";"0";"1";"2";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0"
"Hungary";"10";"1074";"Anikó Gyöngyösi";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"0";"0";"0";"1";"2";"0";"0"
"Hungary";"11";"1078";"Natasa Rybanska";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"2";"0";"0";"2";"1";"0"
"Hungary";"12";"1076";"Krisztina Garda";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Hungary";"13";"1080";"Orsolya Kasó Cseho-Kovacsne";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"France";"1";"1235";"Csenge Gaal";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"France";"2";"1155";"Estelle Millot";"1";"7";"1";"6";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"2";"0";"0";"0"
"France";"3";"1156";"Léa Bachelier";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"France";"4";"1236";"Camelia Bouloukbachi";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"France";"6";"1159";"Géraldine delete Mahieu";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"1";"0";"1";"2";"4";"0"
"France";"5";"1158";"Louise Guillet";"2";"6";"1";"5";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"2";"1";"0"
"France";"7";"1237";"Juliette Dhalluin";"0";"5";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"1";"0";"0";"0"
"France";"8";"1238";"Camille Radosavljevic";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"France";"9";"1162";"Yaëlle Deschampt";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"0";"0"
"France";"10";"1242";"Ema Vernoux";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"France";"11";"1243";"Clemence Clerc";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"2";"0";"0"
"France";"12";"1165";"Audrey Daule";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"1";"0";"0"
"France";"13";"1166";"Lorène Derenty";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9"
