"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"ROC";"1";"1114";"Anna Ustyukhina";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1"
"ROC";"7";"1105";"Alena Serzhantova";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0"
"ROC";"9";"1107";"Anna Timofeeva";"3";"3";"1";"1";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0"
"ROC";"11";"1111";"Evgeniya Ivanova";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ROC";"5";"1108";"Maria Borisova";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"ROC";"12";"1110";"Anastasia Fedotova";"1";"2";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"ROC";"4";"1102";"Elvina Karimova";"3";"6";"2";"5";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"2";"1";"0"
"ROC";"8";"1106";"Anastasia Simanovich";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"5";"1";"0";"0";"2";"0";"2";"0"
"ROC";"10";"1109";"Evgenia Soboleva";"0";"3";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"1";"1";"1";"4";"0";"2";"0";"0";"0"
"ROC";"13";"1113";"Anna Karnaukh";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"ROC";"2";"1100";"Maria Bersneva";"3";"4";"0";"0";"0";"0";"2";"3";"0";"0";"1";"1";"1";"1";"2";"0";"2";"2";"1";"0";"0"
"ROC";"6";"1104";"Olga Gorbunova";"1";"5";"1";"3";"0";"1";"0";"1";"0";"0";"0";"0";"4";"0";"2";"0";"2";"1";"0";"0";"0"
"ROC";"3";"1101";"Ekaterina Prokofyeva";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"4";"3";"0";"1";"0";"0";"1";"0";"0"
"Italy";"11";"1093";"Izabella Chiappini";"2";"4";"1";"2";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"1";"0"
"Italy";"9";"1091";"Giulia Emmolo";"2";"6";"1";"3";"0";"0";"1";"3";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0"
"Italy";"10";"1092";"Valeria Palmieri";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"1";"0";"2";"0"
"Italy";"12";"1094";"Carla Carrega";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0"
"Italy";"13";"1239";"Fabiana Sparano";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Italy";"5";"1086";"Elisa Queirolo";"2";"4";"2";"2";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"1";"1";"0";"2";"1";"0";"0"
"Italy";"4";"1085";"Silvia Avegno";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"Italy";"2";"1083";"Chiara Tabani";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"2";"2";"0";"0"
"Italy";"3";"1084";"Arianna Garibotti";"1";"5";"1";"4";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0"
"Italy";"1";"1082";"Giulia Gorlero";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8"
"Italy";"7";"1088";"Claudia Marletta";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"1";"1";"0";"0"
"Italy";"6";"1087";"Rosaria Aiello";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0"
"Italy";"8";"1090";"Roberta Bianconi";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"1";"0";"0";"3";"2";"2";"0"
