"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"NT Serbia";"2";"1198";"Katarina Cegar";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"2";"0";"0";"0"
"NT Serbia";"3";"1195";"Jovana Pantovic";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0"
"NT Serbia";"1";"1193";"Vanja Lazic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"NT Serbia";"4";"1200";"Teodora Rudic";"1";"4";"0";"2";"0";"0";"0";"0";"1";"2";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0"
"NT Serbia";"6";"1203";"Anja Miskovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"2";"1";"0";"0"
"NT Serbia";"5";"1204";"Nina Josifovic";"1";"2";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"2";"0"
"NT Serbia";"7";"1202";"Mila Gluscevic";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"NT Serbia";"8";"1196";"Nada Mandic";"2";"4";"2";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"2";"1";"0"
"NT Serbia";"9";"1201";"Hristina Ilic";"2";"5";"0";"1";"0";"1";"1";"2";"1";"1";"0";"0";"2";"1";"0";"0";"0";"0";"0";"1";"0"
"NT Serbia";"10";"1199";"Jelena Vukovic";"1";"6";"1";"4";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"1";"0";"2";"1";"0";"0"
"NT Serbia";"11";"1205";"Ana Milicevic";"3";"5";"1";"1";"0";"0";"0";"1";"1";"2";"1";"1";"0";"2";"0";"1";"0";"1";"1";"0";"0"
"NT Serbia";"12";"1197";"Tijana Jakovljevic";"2";"4";"0";"2";"1";"1";"0";"0";"1";"1";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0"
"NT Serbia";"13";"1194";"Nikolina Travar";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"5"
"Germany";"1";"1167";"Felicitas Guse";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"11"
"Germany";"2";"1168";"Belen Vosseberg";"2";"8";"0";"4";"0";"1";"1";"1";"1";"2";"0";"0";"0";"1";"0";"1";"2";"2";"1";"1";"0"
"Germany";"3";"1169";"Maren Hinz";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Germany";"4";"1170";"Sophia Eggert";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"8";"0";"0"
"Germany";"5";"1172";"Gesa Deike";"4";"7";"1";"4";"0";"0";"1";"1";"2";"2";"0";"0";"0";"4";"1";"1";"1";"1";"1";"3";"0"
"Germany";"6";"1171";"Ira Deike";"3";"4";"2";"3";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0"
"Germany";"7";"1173";"Nicole Vunder";"0";"2";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"3";"1";"0";"1";"0";"2";"0";"0";"0"
"Germany";"8";"1174";"Aylin Fry";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Germany";"9";"1175";"Jennifer Stiefel";"3";"4";"2";"2";"0";"1";"0";"0";"1";"1";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0"
"Germany";"10";"1240";"Fabienne Heerdt";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Germany";"11";"1241";"Pauline Pannasch";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"Germany";"12";"1178";"Lynn Krukenberg";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"2";"0";"0";"0"
"Germany";"13";"1179";"Ronja Kerssenboom";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
